block_request_id,asset_id,section_id_request,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min,asset_type,section_id_asset,nearest_station_code,criticality,asset_risk_score,maintenance_priority
BR-09160,AST-0177,SEC-015,JEUR,Signal Maintenance,75,Medium,12:30,±30 min,Signal Team,Urgent,Pending,750,30,720,780,Signal,SEC-015,JEUR,High,59.96,Medium
BR-09161,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±60 min,Bridge Inspection Team,Normal,Pending,795,60,735,855,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09162,AST-0143,SEC-009,JMD,Track Inspection,30,Medium,20:30,±30 min,OHE Team,Urgent,Pending,1230,30,1200,1260,Bridge,SEC-009,JMD,High,47.35,Medium
BR-09163,AST-0042,SEC-020,SEG,Track Inspection,60,Low,14:30,±30 min,Track Maintenance Team,Normal,Pending,870,30,840,900,Bridge,SEC-020,SEG,High,31.46,Low
BR-09164,AST-0148,SEC-033,KVK,Signal Maintenance,90,Low,18:15,±30 min,Track Maintenance Team,Urgent,Pending,1095,30,1065,1125,OHE,SEC-033,KVK,High,32.82,Low
BR-09165,AST-0104,SEC-038,HD,Signal Maintenance,30,High,15:45,±30 min,Signal Team,Normal,Pending,945,30,915,975,OHE,SEC-038,HD,Medium,75.24,High
BR-09166,AST-0171,SEC-012,KSRA,Track Inspection,45,High,06:15,±30 min,Track Maintenance Team,Normal,Pending,375,30,345,405,Bridge,SEC-012,KSRA,Critical,65.45,High
BR-09167,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±60 min,OHE Team,Normal,Pending,75,60,15,135,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09168,AST-0098,SEC-049,HWH,Track Inspection,75,Medium,01:30,±60 min,OHE Team,Normal,Pending,90,60,30,150,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09169,AST-0127,SEC-010,DHI,Point Machine Maintenance,120,Medium,19:30,±30 min,Signal Team,Urgent,Pending,1170,30,1140,1200,Bridge,SEC-010,DHI,Medium,58.79,Medium
BR-09170,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±30 min,Track Maintenance Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09171,AST-0148,SEC-033,KVK,Signal Maintenance,90,Low,18:15,±30 min,Track Maintenance Team,Urgent,Pending,1095,30,1065,1125,OHE,SEC-033,KVK,High,32.82,Low
BR-09172,AST-0077,SEC-033,DLGN,OHE Inspection,30,Low,10:30,Fixed,Bridge Inspection Team,Urgent,Pending,630,0,630,630,Signal,SEC-033,DLGN,Medium,31.57,Low
BR-09173,AST-0042,SEC-020,SEG,Track Inspection,75,Low,16:00,±30 min,Track Maintenance Team,Normal,Pending,960,30,930,990,Bridge,SEC-020,SEG,High,31.46,Low
BR-09174,AST-0194,SEC-027,PAU,Rail Grinding,30,Low,13:15,±15 min,OHE Team,Urgent,Pending,795,15,780,810,Point Machine,SEC-027,PAU,High,30.47,Low
BR-09175,AST-0047,SEC-017,ANG,Track Inspection,45,Critical,06:15,±30 min,Bridge Inspection Team,Normal,Pending,375,30,345,405,Bridge,SEC-017,ANG,Critical,80.11,Critical
BR-09176,AST-0012,SEC-015,JEUR,Signal Maintenance,45,Low,00:45,±30 min,Bridge Inspection Team,Urgent,Pending,45,30,15,75,Bridge,SEC-015,JEUR,Low,32.09,Low
BR-09177,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±60 min,Track Maintenance Team,Normal,Pending,1275,60,1215,1335,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09178,AST-0126,SEC-041,GAR,Track Inspection,30,Medium,01:00,±30 min,Bridge Inspection Team,Normal,Pending,60,30,30,90,Track,SEC-041,GAR,Critical,49.75,Medium
BR-09179,AST-0075,SEC-036,ARAG,Point Machine Maintenance,90,Medium,12:30,±30 min,Track Maintenance Team,Normal,Pending,750,30,720,780,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09180,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,02:30,±30 min,Track Maintenance Team,Urgent,Pending,150,30,120,180,OHE,SEC-033,KVK,High,32.82,Low
BR-09181,AST-0082,SEC-007,JL,Track Renewal,30,Low,09:45,±30 min,Track Maintenance Team,Normal,Pending,585,30,555,615,Bridge,SEC-007,JL,Medium,31.28,Low
BR-09182,AST-0194,SEC-027,PAU,Rail Grinding,45,Low,13:15,±60 min,OHE Team,Urgent,Pending,795,60,735,855,Point Machine,SEC-027,PAU,High,30.47,Low
BR-09183,AST-0141,SEC-022,SUR,Point Machine Maintenance,45,Medium,16:45,±15 min,Track Maintenance Team,Normal,Pending,1005,15,990,1020,Track,SEC-022,SUR,High,51.33,Medium
BR-09184,AST-0197,SEC-020,AK,OHE Inspection,45,Medium,03:00,Fixed,Track Maintenance Team,Urgent,Pending,180,0,180,180,OHE,SEC-020,AK,Low,40.22,Medium
BR-09185,AST-0139,SEC-004,BNC,Signal Maintenance,30,Medium,17:45,±60 min,Track Maintenance Team,Urgent,Pending,1065,60,1005,1125,OHE,SEC-004,BNC,High,50.39,Medium
BR-09186,AST-0127,SEC-010,DHI,Point Machine Maintenance,75,Medium,05:45,±15 min,Signal Team,Urgent,Pending,345,15,330,360,Bridge,SEC-010,DHI,Medium,58.79,Medium
BR-09187,AST-0027,SEC-026,PRLI,Track Inspection,60,High,04:30,±30 min,Track Maintenance Team,Normal,Pending,270,30,240,300,Bridge,SEC-026,PRLI,High,61.14,High
BR-09188,AST-0159,SEC-029,PLO,OHE Inspection,45,Medium,21:45,±15 min,Bridge Inspection Team,Normal,Pending,1305,15,1290,1320,Signal,SEC-029,PLO,High,46.95,Medium
BR-09189,AST-0070,SEC-018,BDWD,Track Inspection,30,Medium,13:30,±30 min,Signal Team,Urgent,Pending,810,30,780,840,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09190,AST-0070,SEC-018,BDWD,Track Inspection,120,Medium,03:15,±30 min,Signal Team,Urgent,Pending,195,30,165,225,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09191,AST-0059,SEC-021,BD,Rail Grinding,45,Medium,15:15,±30 min,Track Maintenance Team,Normal,Pending,915,30,885,945,Bridge,SEC-021,BD,Low,43.06,Medium
BR-09192,AST-0183,SEC-008,PC,Signal Maintenance,45,High,16:00,±30 min,Bridge Inspection Team,Normal,Pending,960,30,930,990,OHE,SEC-008,PC,High,60.59,High
BR-09193,AST-0126,SEC-041,GAR,Track Inspection,60,Medium,21:30,±30 min,Bridge Inspection Team,Normal,Pending,1290,30,1260,1320,Track,SEC-041,GAR,Critical,49.75,Medium
BR-09194,AST-0059,SEC-021,BD,Track Renewal,45,Medium,04:45,±15 min,Signal Team,Urgent,Pending,285,15,270,300,Bridge,SEC-021,BD,Low,43.06,Medium
BR-09195,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,01:00,±30 min,OHE Team,Normal,Pending,60,30,30,90,Signal,SEC-021,BD,Critical,53.64,Medium
BR-09196,AST-0121,SEC-028,CND,Track Renewal,30,High,22:00,±60 min,Track Maintenance Team,Urgent,Pending,1320,60,1260,1380,Level Crossing,SEC-028,CND,High,69.19,High
BR-09197,AST-0077,SEC-033,DLGN,Track Renewal,60,Low,18:30,±30 min,Bridge Inspection Team,Urgent,Pending,1110,30,1080,1140,Signal,SEC-033,DLGN,Medium,31.57,Low
BR-09198,AST-0124,SEC-022,NAVI,Signal Maintenance,90,High,15:15,Fixed,Track Maintenance Team,Urgent,Pending,915,0,915,915,Signal,SEC-022,NAVI,Medium,75.58,High
BR-09199,AST-0027,SEC-026,PRLI,Track Inspection,30,High,07:45,±30 min,Track Maintenance Team,Normal,Pending,465,30,435,495,Bridge,SEC-026,PRLI,High,61.14,High
BR-09200,AST-0121,SEC-028,CND,Track Renewal,45,High,16:15,±30 min,Track Maintenance Team,Urgent,Pending,975,30,945,1005,Level Crossing,SEC-028,CND,High,69.19,High
BR-09201,AST-0136,SEC-021,BD,Signal Maintenance,60,Medium,04:30,±30 min,OHE Team,Normal,Pending,270,30,240,300,Signal,SEC-021,BD,Critical,53.64,Medium
BR-09202,AST-0027,SEC-026,PRLI,Track Inspection,30,High,21:30,±60 min,Track Maintenance Team,Normal,Pending,1290,60,1230,1350,Bridge,SEC-026,PRLI,High,61.14,High
BR-09203,AST-0159,SEC-029,PLO,OHE Inspection,30,Medium,13:30,±30 min,Bridge Inspection Team,Normal,Pending,810,30,780,840,Signal,SEC-029,PLO,High,46.95,Medium
BR-09204,AST-0148,SEC-033,KVK,Signal Maintenance,60,Low,16:30,±15 min,Track Maintenance Team,Urgent,Pending,990,15,975,1005,OHE,SEC-033,KVK,High,32.82,Low
BR-09205,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:30,±15 min,Track Maintenance Team,Normal,Pending,750,15,735,765,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09206,AST-0148,SEC-033,KVK,Signal Maintenance,75,Low,10:00,±60 min,Track Maintenance Team,Urgent,Pending,600,60,540,660,OHE,SEC-033,KVK,High,32.82,Low
BR-09207,AST-0171,SEC-012,KSRA,Track Inspection,60,High,06:30,±30 min,Track Maintenance Team,Normal,Pending,390,30,360,420,Bridge,SEC-012,KSRA,Critical,65.45,High
BR-09208,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,13:15,±60 min,Track Maintenance Team,Urgent,Pending,795,60,735,855,OHE,SEC-033,KVK,High,32.82,Low
BR-09209,AST-0148,SEC-033,KVK,Signal Maintenance,75,Low,15:45,±60 min,Track Maintenance Team,Urgent,Pending,945,60,885,1005,OHE,SEC-033,KVK,High,32.82,Low
BR-09210,AST-0075,SEC-036,ARAG,OHE Inspection,60,Medium,12:45,±15 min,Bridge Inspection Team,Normal,Pending,765,15,750,780,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09211,AST-0139,SEC-004,BNC,Signal Maintenance,30,Medium,16:30,±30 min,Track Maintenance Team,Urgent,Pending,990,30,960,1020,OHE,SEC-004,BNC,High,50.39,Medium
BR-09212,AST-0117,SEC-043,HBJ,Signal Maintenance,45,Critical,12:30,±15 min,Signal Team,Normal,Pending,750,15,735,765,OHE,SEC-043,HBJ,High,95.3,Critical
BR-09213,AST-0194,SEC-027,PAU,Rail Grinding,30,Low,12:15,Fixed,OHE Team,Urgent,Pending,735,0,735,735,Point Machine,SEC-027,PAU,High,30.47,Low
BR-09214,AST-0070,SEC-018,BDWD,Track Inspection,90,Medium,09:45,Fixed,Signal Team,Urgent,Pending,585,0,585,585,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09215,AST-0027,SEC-026,PRLI,Track Inspection,60,High,16:30,±15 min,Track Maintenance Team,Normal,Pending,990,15,975,1005,Bridge,SEC-026,PRLI,High,61.14,High
BR-09216,AST-0117,SEC-043,HBJ,Signal Maintenance,30,Critical,12:45,Fixed,Signal Team,Normal,Pending,765,0,765,765,OHE,SEC-043,HBJ,High,95.3,Critical
BR-09217,AST-0159,SEC-029,PLO,OHE Inspection,45,Medium,13:15,±60 min,Bridge Inspection Team,Normal,Pending,795,60,735,855,Signal,SEC-029,PLO,High,46.95,Medium
BR-09218,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±30 min,OHE Team,Normal,Pending,75,30,45,105,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09219,AST-0197,SEC-020,AK,OHE Inspection,30,Medium,09:45,±30 min,Track Maintenance Team,Urgent,Pending,585,30,555,615,OHE,SEC-020,AK,Low,40.22,Medium
BR-09220,AST-0049,SEC-025,LTRR,Track Renewal,90,Medium,18:00,±15 min,OHE Team,Normal,Pending,1080,15,1065,1095,Point Machine,SEC-025,LTRR,High,43.05,Medium
BR-09221,AST-0059,SEC-021,BD,Track Renewal,60,Medium,01:00,±15 min,Signal Team,Urgent,Pending,60,15,45,75,Bridge,SEC-021,BD,Low,43.06,Medium
BR-09222,AST-0114,SEC-003,JTJ,OHE Inspection,45,Medium,15:15,Fixed,Signal Team,Normal,Pending,915,0,915,915,Bridge,SEC-003,JTJ,Medium,39.46,Medium
BR-09223,AST-0143,SEC-009,JMD,Track Inspection,60,Medium,07:45,Fixed,OHE Team,Urgent,Pending,465,0,465,465,Bridge,SEC-009,JMD,High,47.35,Medium
BR-09224,AST-0086,SEC-030,WR,Track Inspection,60,High,04:45,±30 min,Track Maintenance Team,Normal,Pending,285,30,255,315,OHE,SEC-030,WR,Medium,70.23,High
BR-09225,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,19:00,±30 min,Bridge Inspection Team,Urgent,Pending,1140,30,1110,1170,Signal,SEC-033,DLGN,Medium,31.57,Low
BR-09226,AST-0143,SEC-009,JMD,Track Inspection,75,Medium,08:00,±15 min,OHE Team,Urgent,Pending,480,15,465,495,Bridge,SEC-009,JMD,High,47.35,Medium
BR-09227,AST-0104,SEC-038,HD,Signal Maintenance,60,High,11:30,±30 min,Signal Team,Normal,Pending,690,30,660,720,OHE,SEC-038,HD,Medium,75.24,High
BR-09228,AST-0121,SEC-028,CND,Track Renewal,60,High,21:45,±60 min,Track Maintenance Team,Urgent,Pending,1305,60,1245,1365,Level Crossing,SEC-028,CND,High,69.19,High
BR-09229,AST-0077,SEC-033,DLGN,OHE Inspection,45,Low,10:15,±30 min,Bridge Inspection Team,Urgent,Pending,615,30,585,645,Signal,SEC-033,DLGN,Medium,31.57,Low
BR-09230,AST-0070,SEC-018,BDWD,Track Inspection,90,Medium,03:45,±30 min,Signal Team,Urgent,Pending,225,30,195,255,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09231,AST-0059,SEC-021,BD,Track Renewal,45,Medium,15:15,±30 min,Signal Team,Urgent,Pending,915,30,885,945,Bridge,SEC-021,BD,Low,43.06,Medium
BR-09232,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09233,AST-0075,SEC-036,ARAG,OHE Inspection,30,Medium,13:00,±30 min,Bridge Inspection Team,Normal,Pending,780,30,750,810,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09234,AST-0070,SEC-018,BDWD,Track Inspection,120,Medium,20:00,Fixed,Signal Team,Urgent,Pending,1200,0,1200,1200,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09235,AST-0027,SEC-026,PRLI,Track Inspection,45,High,07:30,±60 min,Track Maintenance Team,Normal,Pending,450,60,390,510,Bridge,SEC-026,PRLI,High,61.14,High
BR-09236,AST-0122,SEC-042,HBD,Bridge Inspection,45,High,14:00,±30 min,Track Maintenance Team,Normal,Pending,840,30,810,870,Bridge,SEC-042,HBD,Low,76.65,High
BR-09237,AST-0047,SEC-017,ANG,Track Inspection,45,Critical,13:00,±60 min,Bridge Inspection Team,Normal,Pending,780,60,720,840,Bridge,SEC-017,ANG,Critical,80.11,Critical
BR-09238,AST-0143,SEC-009,JMD,Track Inspection,120,Medium,17:00,±30 min,OHE Team,Urgent,Pending,1020,30,990,1050,Bridge,SEC-009,JMD,High,47.35,Medium
BR-09239,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,Fixed,Track Maintenance Team,Normal,Pending,1275,0,1275,1275,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09240,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±60 min,Track Maintenance Team,Normal,Pending,1275,60,1215,1335,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09241,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±30 min,Bridge Inspection Team,Normal,Pending,795,30,765,825,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09242,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,05:00,±30 min,Signal Team,Urgent,Pending,300,30,270,330,Signal,SEC-015,JEUR,High,59.96,Medium
BR-09243,AST-0104,SEC-038,HD,Signal Maintenance,30,High,06:45,±30 min,Signal Team,Normal,Pending,405,30,375,435,OHE,SEC-038,HD,Medium,75.24,High
BR-09244,AST-0027,SEC-026,PRLI,Track Inspection,60,High,18:00,±15 min,Track Maintenance Team,Normal,Pending,1080,15,1065,1095,Bridge,SEC-026,PRLI,High,61.14,High
BR-09245,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:30,±30 min,Track Maintenance Team,Normal,Pending,750,30,720,780,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09246,AST-0086,SEC-030,WR,Track Inspection,120,High,04:45,Fixed,Track Maintenance Team,Normal,Pending,285,0,285,285,OHE,SEC-030,WR,Medium,70.23,High
BR-09247,AST-0021,SEC-021,MZR,Signal Maintenance,60,High,05:00,±30 min,OHE Team,Normal,Pending,300,30,270,330,Level Crossing,SEC-021,MZR,Medium,70.94,High
BR-09248,AST-0027,SEC-026,PRLI,Track Inspection,30,High,20:15,Fixed,Track Maintenance Team,Normal,Pending,1215,0,1215,1215,Bridge,SEC-026,PRLI,High,61.14,High
BR-09249,AST-0136,SEC-021,BD,Signal Maintenance,60,Medium,04:30,Fixed,OHE Team,Normal,Pending,270,0,270,270,Signal,SEC-021,BD,Critical,53.64,Medium
BR-09250,AST-0012,SEC-015,JEUR,Signal Maintenance,60,Low,08:15,Fixed,Bridge Inspection Team,Urgent,Pending,495,0,495,495,Bridge,SEC-015,JEUR,Low,32.09,Low
BR-09251,AST-0183,SEC-008,PC,Signal Maintenance,30,High,11:30,±30 min,Bridge Inspection Team,Normal,Pending,690,30,660,720,OHE,SEC-008,PC,High,60.59,High
BR-09252,AST-0124,SEC-022,NAVI,Signal Maintenance,60,High,16:15,Fixed,Track Maintenance Team,Urgent,Pending,975,0,975,975,Signal,SEC-022,NAVI,Medium,75.58,High
BR-09253,AST-0042,SEC-020,SEG,Track Inspection,120,Low,16:15,±30 min,Track Maintenance Team,Normal,Pending,975,30,945,1005,Bridge,SEC-020,SEG,High,31.46,Low
BR-09254,AST-0063,SEC-019,MKU,Bridge Inspection,30,Low,10:15,±30 min,Signal Team,Normal,Pending,615,30,585,645,Signal,SEC-019,MKU,High,31.08,Low
BR-09255,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09256,AST-0098,SEC-049,HWH,Track Inspection,75,Medium,01:30,±30 min,OHE Team,Normal,Pending,90,30,60,120,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09257,AST-0070,SEC-018,BDWD,Track Inspection,45,Medium,17:15,Fixed,Signal Team,Urgent,Pending,1035,0,1035,1035,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09258,AST-0075,SEC-036,ARAG,Point Machine Maintenance,90,Medium,13:15,±30 min,Track Maintenance Team,Normal,Pending,795,30,765,825,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09259,AST-0124,SEC-022,NAVI,Signal Maintenance,120,High,15:15,±15 min,Track Maintenance Team,Urgent,Pending,915,15,900,930,Signal,SEC-022,NAVI,Medium,75.58,High
BR-09260,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,19:15,±30 min,Track Maintenance Team,Urgent,Pending,1155,30,1125,1185,OHE,SEC-033,KVK,High,32.82,Low
BR-09261,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±30 min,OHE Team,Normal,Pending,75,30,45,105,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09262,AST-0047,SEC-017,ANG,Track Inspection,75,Critical,16:15,±30 min,Bridge Inspection Team,Normal,Pending,975,30,945,1005,Bridge,SEC-017,ANG,Critical,80.11,Critical
BR-09263,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:30,±30 min,Track Maintenance Team,Normal,Pending,750,30,720,780,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09264,AST-0197,SEC-020,AK,OHE Inspection,30,Medium,09:45,Fixed,Track Maintenance Team,Urgent,Pending,585,0,585,585,OHE,SEC-020,AK,Low,40.22,Medium
BR-09265,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±30 min,Bridge Inspection Team,Normal,Pending,795,30,765,825,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09266,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09267,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±30 min,Track Maintenance Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09268,AST-0124,SEC-022,NAVI,Rail Grinding,90,High,14:45,±15 min,Track Maintenance Team,Normal,Pending,885,15,870,900,Signal,SEC-022,NAVI,Medium,75.58,High
BR-09269,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09270,AST-0042,SEC-020,SEG,Track Inspection,30,Low,20:15,±15 min,Track Maintenance Team,Normal,Pending,1215,15,1200,1230,Bridge,SEC-020,SEG,High,31.46,Low
BR-09271,AST-0070,SEC-018,BDWD,Track Inspection,75,Medium,10:15,±30 min,Signal Team,Urgent,Pending,615,30,585,645,Track,SEC-018,BDWD,Low,58.9,Medium
BR-09272,AST-0117,SEC-043,HBJ,Signal Maintenance,30,Critical,02:30,Fixed,Signal Team,Normal,Pending,150,0,150,150,OHE,SEC-043,HBJ,High,95.3,Critical
BR-09273,AST-0183,SEC-008,PC,Signal Maintenance,75,High,13:45,±30 min,Bridge Inspection Team,Normal,Pending,825,30,795,855,OHE,SEC-008,PC,High,60.59,High
BR-09274,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,03:15,±30 min,OHE Team,Normal,Pending,195,30,165,225,Signal,SEC-021,BD,Critical,53.64,Medium
BR-09275,AST-0098,SEC-049,HWH,Track Inspection,45,Medium,01:45,±15 min,OHE Team,Normal,Pending,105,15,90,120,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09276,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09277,AST-0027,SEC-026,PRLI,Track Inspection,30,High,07:45,Fixed,Track Maintenance Team,Normal,Pending,465,0,465,465,Bridge,SEC-026,PRLI,High,61.14,High
BR-09278,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09279,AST-0059,SEC-021,BD,Track Renewal,45,Medium,04:30,±30 min,Signal Team,Urgent,Pending,270,30,240,300,Bridge,SEC-021,BD,Low,43.06,Medium
BR-09280,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09281,AST-0047,SEC-017,ANG,Track Inspection,60,Critical,06:15,Fixed,Bridge Inspection Team,Normal,Pending,375,0,375,375,Bridge,SEC-017,ANG,Critical,80.11,Critical
BR-09282,AST-0098,SEC-049,HWH,Track Inspection,60,Medium,01:30,±15 min,OHE Team,Normal,Pending,90,15,75,105,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09283,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±15 min,Bridge Inspection Team,Normal,Pending,1275,15,1260,1290,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09284,AST-0098,SEC-049,HWH,Track Inspection,60,Medium,01:15,±60 min,OHE Team,Normal,Pending,75,60,15,135,Point Machine,SEC-049,HWH,Low,55.48,Medium
BR-09285,AST-0114,SEC-003,JTJ,OHE Inspection,45,Medium,15:15,Fixed,Signal Team,Normal,Pending,915,0,915,915,Bridge,SEC-003,JTJ,Medium,39.46,Medium
BR-09286,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,Fixed,Track Maintenance Team,Normal,Pending,1275,0,1275,1275,Point Machine,SEC-049,KGP,Medium,40.6,Medium
BR-09287,AST-0183,SEC-008,PC,Signal Maintenance,60,High,14:00,Fixed,Bridge Inspection Team,Normal,Pending,840,0,840,840,OHE,SEC-008,PC,High,60.59,High
BR-09288,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,04:45,±60 min,OHE Team,Normal,Pending,285,60,225,345,Signal,SEC-021,BD,Critical,53.64,Medium
BR-09289,AST-0126,SEC-041,GAR,Track Renewal,45,Medium,21:45,±60 min,Bridge Inspection Team,Normal,Pending,1305,60,1245,1365,Track,SEC-041,GAR,Critical,49.75,Medium
BR-09290,AST-0183,SEC-008,PC,Signal Maintenance,75,High,07:45,±15 min,Bridge Inspection Team,Normal,Pending,465,15,450,480,OHE,SEC-008,PC,High,60.59,High
BR-09291,AST-0012,SEC-015,JEUR,Signal Maintenance,45,Low,10:15,±30 min,Bridge Inspection Team,Urgent,Pending,615,30,585,645,Bridge,SEC-015,JEUR,Low,32.09,Low
BR-09292,AST-0124,SEC-022,NAVI,Rail Grinding,60,High,15:30,±60 min,Track Maintenance Team,Normal,Pending,930,60,870,990,Signal,SEC-022,NAVI,Medium,75.58,High
BR-09293,AST-0183,SEC-008,PC,Signal Maintenance,30,High,02:00,±15 min,Bridge Inspection Team,Normal,Pending,120,15,105,135,OHE,SEC-008,PC,High,60.59,High
BR-09294,AST-0171,SEC-012,KSRA,Track Inspection,75,High,13:45,±15 min,Track Maintenance Team,Normal,Pending,825,15,810,840,Bridge,SEC-012,KSRA,Critical,65.45,High
BR-09295,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,02:30,±30 min,Track Maintenance Team,Urgent,Pending,150,30,120,180,OHE,SEC-033,KVK,High,32.82,Low
BR-09296,AST-0121,SEC-028,CND,Track Renewal,45,High,04:00,±30 min,Track Maintenance Team,Urgent,Pending,240,30,210,270,Level Crossing,SEC-028,CND,High,69.19,High
BR-09297,AST-0122,SEC-042,HBD,Bridge Inspection,30,High,10:15,±30 min,Track Maintenance Team,Normal,Pending,615,30,585,645,Bridge,SEC-042,HBD,Low,76.65,High
BR-09298,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,Bridge,SEC-043,BINA,High,35.37,Medium
BR-09299,AST-0075,SEC-036,ARAG,OHE Inspection,30,Medium,14:15,±15 min,Bridge Inspection Team,Normal,Pending,855,15,840,870,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09300,AST-0127,SEC-010,DHI,Point Machine Maintenance,90,Medium,21:00,±15 min,Signal Team,Urgent,Pending,1260,15,1245,1275,Bridge,SEC-010,DHI,Medium,58.79,Medium
BR-09301,AST-0177,SEC-015,JEUR,Signal Maintenance,120,Medium,15:45,±15 min,Signal Team,Urgent,Pending,945,15,930,960,Signal,SEC-015,JEUR,High,59.96,Medium
BR-09302,AST-0075,SEC-036,ARAG,Point Machine Maintenance,30,Medium,13:45,±60 min,Track Maintenance Team,Normal,Pending,825,60,765,885,Bridge,SEC-036,ARAG,Medium,47.44,Medium
BR-09303,AST-0027,SEC-026,PRLI,Track Inspection,30,High,01:00,Fixed,Track Maintenance Team,Normal,Pending,60,0,60,60,Bridge,SEC-026,PRLI,High,61.14,High
