existing_block_id,linked_block_request_id,asset_id,section_id,station_code,block_type,start_time,end_time,duration_min,assigned_team,status,operational_priority,source,block_date,start_min,end_min,calculated_duration_min,station Code,Station Name
EB-10628,,AST-0100,SEC-023,MO,Maintenance Block,15:42,16:27,45,OHE Team,Confirmed,High,Existing/Committed,2025-09-09,942,987,45,MO,MOHOL
EB-10629,,AST-3385,SEC-172,BBS,Maintenance Block,07:34,09:34,120,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-11-03,454,574,120,BBS,BHUBANESWAR
EB-10630,,AST-2618,SEC-422,MALM,Engineering Block,18:30,20:00,90,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-11-20,1110,1200,90,MALM,MANTHRALAYAM RD
EB-10631,,AST-2150,SEC-433,KASU,Maintenance Block,19:21,20:51,90,Signal Team,Planned,Normal,Existing/Committed,2024-04-23,1161,1251,90,KASU,KASU
EB-10632,,AST-5003,SEC-145,BPL,Engineering Block,08:08,09:23,75,OHE Team,Active,Normal,Existing/Committed,2025-01-10,488,563,75,BPL,BHOPAL JN
EB-10633,,AST-9465,SEC-483,ND,Engineering Block,08:09,09:09,60,Track Maintenance Team,Active,Normal,Existing/Committed,2025-06-03,489,549,60,ND,NADIAD JN
EB-10634,,AST-6308,SEC-282,AGC,Engineering Block,10:49,12:49,120,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-20,649,769,120,AGC,AGRA CANTT
EB-10635,,AST-1324,SEC-164,KIUL,Maintenance Block,22:19,00:19,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-02-27,1339,19,120,KIUL,KIUL JN
EB-10636,,AST-0455,SEC-432,DR,Maintenance Block,13:58,14:43,45,OHE Team,Active,Normal,Existing/Committed,2026-06-15,838,883,45,DR,DADAR
EB-10637,,AST-3026,SEC-262,SORO,Maintenance Block,03:26,03:56,30,Track Maintenance Team,Active,Normal,Existing/Committed,2024-01-15,206,236,30,SORO,SORO
EB-10638,,AST-3248,SEC-393,FKG,Maintenance Block,06:29,07:29,60,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-01-20,389,449,60,FKG,FURKATING JN
EB-10639,,AST-3788,SEC-112,KOJ,Maintenance Block,10:20,11:20,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-01-12,620,680,60,KOJ,KOKRAJHAR
EB-10640,,AST-1937,SEC-054,MJS,Maintenance Block,05:41,06:11,30,Bridge Inspection Team,Confirmed,High,Existing/Committed,2024-11-03,341,371,30,MJS,MANJESHWAR
EB-10641,,AST-5127,SEC-178,BVI,Planned Block,04:47,05:47,60,OHE Team,Confirmed,High,Existing/Committed,2025-04-18,287,347,60,BVI,BORIVALI
EB-10642,,AST-7828,SEC-360,PDU,Maintenance Block,01:28,02:58,90,Signal Team,Active,High,Existing/Committed,2024-03-06,88,178,90,PDU,PONDURU
EB-10643,,AST-3078,SEC-250,MURI,Engineering Block,10:12,10:57,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-12,612,657,45,MURI,MURI
EB-10644,,AST-9354,SEC-259,TAA,Planned Block,04:26,05:11,45,Signal Team,Planned,Normal,Existing/Committed,2025-09-05,266,311,45,TAA,TADLA PUSAPALLI
EB-10645,,AST-2568,SEC-102,KWV,Engineering Block,15:30,16:00,30,OHE Team,Planned,High,Existing/Committed,2026-04-10,930,960,30,KWV,KURDUVADI
EB-10646,,AST-1587,SEC-022,KJN,Maintenance Block,18:55,19:40,45,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-04-22,1135,1180,45,KJN,KANNAUJ
EB-10647,,AST-2509,SEC-009,FK,Engineering Block,18:22,20:22,120,Signal Team,Confirmed,High,Existing/Committed,2024-11-25,1102,1222,120,FK,FEROK
EB-10648,,AST-4257,SEC-233,JSG,Maintenance Block,11:30,13:30,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-01-21,690,810,120,JSG,JHARSUGUDA JN
EB-10649,,AST-4435,SEC-351,BSB,Maintenance Block,18:47,19:32,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-11-21,1127,1172,45,BSB,VARANASI JN
EB-10650,,AST-3442,SEC-370,DNKL,Maintenance Block,16:29,17:44,75,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-05-04,989,1064,75,DNKL,DHENKANAL
EB-10651,,AST-9396,SEC-419,TNA,Maintenance Block,18:41,19:11,30,Track Maintenance Team,Active,Normal,Existing/Committed,2025-05-27,1121,1151,30,TNA,THANE
EB-10652,,AST-3935,SEC-217,RU,Maintenance Block,12:17,12:47,30,Bridge Inspection Team,Planned,High,Existing/Committed,2024-05-05,737,767,30,RU,RENIGUNTA JN
EB-10653,,AST-9688,SEC-420,PNME,Engineering Block,03:35,04:35,60,Signal Team,Active,Normal,Existing/Committed,2026-06-19,215,275,60,PNME,PARASNATH
EB-10654,,AST-8041,SEC-390,DJG,Maintenance Block,12:05,12:50,45,OHE Team,Active,Normal,Existing/Committed,2025-08-04,725,770,45,DJG,DULIAJAN
EB-10655,,AST-5353,SEC-334,SDL,Engineering Block,09:19,10:19,60,Bridge Inspection Team,Confirmed,High,Existing/Committed,2024-08-20,559,619,60,SDL,SHAHDOL
EB-10656,,AST-5108,SEC-202,ED,Maintenance Block,07:32,09:02,90,Signal Team,Confirmed,Normal,Existing/Committed,2026-06-19,452,542,90,ED,ERODE JN
EB-10657,,AST-1489,SEC-368,BKI,Maintenance Block,08:05,09:35,90,OHE Team,Planned,Normal,Existing/Committed,2026-01-18,485,575,90,BKI,BANDIKUI JN
EB-10658,,AST-2009,SEC-137,HW,Maintenance Block,05:27,06:57,90,Signal Team,Active,Normal,Existing/Committed,2025-02-20,327,417,90,HW,HARIDWAR JN
EB-10659,,AST-7834,SEC-004,BOR,Maintenance Block,02:21,04:21,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-05-05,141,261,120,BOR,BOISAR
EB-10660,,AST-6358,SEC-216,MGS,Maintenance Block,11:28,12:43,75,Signal Team,Confirmed,Normal,Existing/Committed,2024-11-18,688,763,75,MGS,MUGHAL SARAI JN
EB-10661,,AST-3313,SEC-389,GGJ,Maintenance Block,13:41,14:11,30,Signal Team,Active,Normal,Existing/Committed,2025-07-17,821,851,30,GGJ,GOSHAINGANJ
EB-10662,,AST-3794,SEC-019,RJY,Maintenance Block,07:54,08:24,30,OHE Team,Active,High,Existing/Committed,2026-01-14,474,504,30,RJY,RAJAHMUNDRY
EB-10663,,AST-1278,SEC-489,AF,Maintenance Block,11:20,13:20,120,Signal Team,Confirmed,High,Existing/Committed,2024-08-28,680,800,120,AF,AGRA FORT
EB-10664,,AST-5827,SEC-178,SEB,Maintenance Block,13:43,14:13,30,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-12-22,823,853,30,SEB,SON NAGAR
EB-10665,,AST-8537,SEC-394,BMO,Maintenance Block,07:22,08:07,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2024-09-18,442,487,45,BMO,BOLARUM
EB-10666,,AST-9290,SEC-429,MRJ,Engineering Block,20:50,22:50,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-08-13,1250,1370,120,MRJ,MIRAJ JN
EB-10667,,AST-0257,SEC-097,DHNE,Engineering Block,20:40,22:40,120,OHE Team,Confirmed,Normal,Existing/Committed,2025-03-02,1240,1360,120,DHNE,DHONE
EB-10668,,AST-6087,SEC-404,G,Engineering Block,11:49,13:49,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-05-19,709,829,120,G,GONDIA JN
EB-10669,,AST-0539,SEC-030,RJY,Planned Block,11:16,13:16,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-01-18,676,796,120,RJY,RAJAHMUNDRY
EB-10670,,AST-5253,SEC-089,JNU,Maintenance Block,21:09,22:09,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-12-02,1269,1329,60,JNU,JAUNPUR JN
EB-10671,,AST-3612,SEC-408,OGL,Planned Block,06:16,07:31,75,Signal Team,Confirmed,High,Existing/Committed,2024-09-16,376,451,75,OGL,ONGOLE
EB-10672,,AST-6243,SEC-319,JMKT,Planned Block,07:42,08:57,75,Signal Team,Confirmed,High,Existing/Committed,2026-01-24,462,537,75,JMKT,JAMIKUNTA
EB-10673,,AST-2160,SEC-172,AH,Maintenance Block,22:54,23:39,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-11-06,1374,1419,45,AH,ACHHNERA JN
EB-10674,,AST-1796,SEC-175,MUV,Engineering Block,19:32,20:02,30,Signal Team,Active,Normal,Existing/Committed,2025-11-05,1172,1202,30,MUV,MANDUADIH
EB-10675,,AST-7037,SEC-203,BBS,Maintenance Block,11:35,13:05,90,Track Maintenance Team,Active,Normal,Existing/Committed,2025-11-30,695,785,90,BBS,BHUBANESWAR
EB-10676,,AST-3518,SEC-140,KGP,Engineering Block,04:29,05:44,75,Signal Team,Confirmed,High,Existing/Committed,2025-10-06,269,344,75,KGP,KHARAGPUR JN
EB-10677,,AST-9865,SEC-104,PNBE,Planned Block,00:59,02:29,90,Signal Team,Active,Normal,Existing/Committed,2024-09-05,59,149,90,PNBE,PATNA JN
EB-10678,,AST-7955,SEC-192,MRJ,Maintenance Block,19:03,20:03,60,Bridge Inspection Team,Active,High,Existing/Committed,2026-03-19,1143,1203,60,MRJ,MIRAJ JN
EB-10679,,AST-4721,SEC-220,RJY,Maintenance Block,02:48,04:03,75,Signal Team,Confirmed,High,Existing/Committed,2024-08-03,168,243,75,RJY,RAJAHMUNDRY
EB-10680,,AST-5161,SEC-299,CTC,Maintenance Block,15:22,16:22,60,OHE Team,Confirmed,Normal,Existing/Committed,2024-09-13,922,982,60,CTC,CUTTACK
EB-10681,,AST-9138,SEC-144,ET,Planned Block,05:47,06:32,45,Signal Team,Planned,Normal,Existing/Committed,2026-05-03,347,392,45,ET,ITARSI JN
EB-10682,,AST-1052,SEC-202,TUP,Planned Block,02:24,03:09,45,Track Maintenance Team,Active,High,Existing/Committed,2024-11-14,144,189,45,TUP,TIRUPPUR
EB-10683,,AST-6775,SEC-466,RC,Engineering Block,17:02,18:32,90,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-11-07,1022,1112,90,RC,RAICHUR
EB-10684,,AST-7357,SEC-169,KMS,Maintenance Block,10:48,11:48,60,OHE Team,Confirmed,Normal,Existing/Committed,2024-01-22,648,708,60,KMS,KARAMNASA
EB-10685,,AST-1480,SEC-121,BAND,Engineering Block,21:26,23:26,120,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-08-16,1286,1406,120,BAND,BANASWADI
EB-10686,,AST-8095,SEC-090,SEE,Maintenance Block,21:14,22:44,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-04-27,1274,1364,90,SEE,SONPUR JN
EB-10687,,AST-8766,SEC-220,ALJN,Planned Block,06:40,07:25,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-11-18,400,445,45,ALJN,ALIGARH JN
EB-10688,,AST-4080,SEC-318,KWV,Maintenance Block,05:04,05:49,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-07-15,304,349,45,KWV,KURDUVADI
EB-10689,,AST-7925,SEC-286,SHU,Maintenance Block,21:16,22:46,90,Bridge Inspection Team,Planned,Normal,Existing/Committed,2026-04-08,1276,1366,90,SHU,SHOLINGHUR
EB-10690,,AST-0519,SEC-315,ABR,Maintenance Block,14:17,15:02,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-10-04,857,902,45,ABR,ABU ROAD
EB-10691,,AST-3070,SEC-148,LKO,Engineering Block,19:31,20:01,30,Bridge Inspection Team,Planned,Normal,Existing/Committed,2024-12-21,1171,1201,30,LKO,LUCKNOW NR
EB-10692,,AST-7155,SEC-413,BTD,Maintenance Block,02:49,03:34,45,Signal Team,Active,High,Existing/Committed,2024-02-18,169,214,45,BTD,BOTAD JN
EB-10693,,AST-5357,SEC-484,MJ,Maintenance Block,08:44,09:44,60,Signal Team,Active,High,Existing/Committed,2025-11-08,524,584,60,MJ,MARWAR JN
EB-10694,,AST-7013,SEC-282,PNP,Engineering Block,19:54,20:39,45,Track Maintenance Team,Active,Normal,Existing/Committed,2025-12-03,1194,1239,45,PNP,PANIPAT JN
EB-10695,,AST-1915,SEC-270,BD,Maintenance Block,03:36,04:21,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-12-31,216,261,45,BD,BADNERA JN
EB-10696,,AST-4987,SEC-167,JU,Planned Block,18:53,19:38,45,OHE Team,Confirmed,Normal,Existing/Committed,2025-12-28,1133,1178,45,JU,JODHPUR JN
EB-10697,,AST-0968,SEC-369,BSL,Maintenance Block,12:41,14:41,120,Track Maintenance Team,Confirmed,High,Existing/Committed,2024-04-16,761,881,120,BSL,BHUSAVAL JN
EB-10698,,AST-5313,SEC-329,BBM,Maintenance Block,00:23,01:38,75,Track Maintenance Team,Confirmed,High,Existing/Committed,2025-10-07,23,98,75,BBM,BARABHUM
EB-10699,,AST-2789,SEC-165,BKI,Maintenance Block,20:17,20:47,30,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-01-12,1217,1247,30,BKI,BANDIKUI JN
EB-10700,,AST-0203,SEC-481,BHTK,Maintenance Block,00:12,01:12,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-07-01,12,72,60,BHTK,BHANWAR TONK
EB-10701,,AST-7261,SEC-198,WL,Maintenance Block,04:16,05:01,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-03-31,256,301,45,WL,WARANGAL
EB-10702,,AST-5237,SEC-146,KMST,Maintenance Block,01:09,01:54,45,OHE Team,Planned,High,Existing/Committed,2026-06-11,69,114,45,KMST,KAMSHET
EB-10703,,AST-0264,SEC-404,KRE,Maintenance Block,01:06,02:06,60,OHE Team,Confirmed,Normal,Existing/Committed,2025-01-28,66,126,60,KRE,KARTARPUR
EB-10704,,AST-7819,SEC-153,KSJ,Planned Block,11:39,12:24,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-01-02,699,744,45,KSJ,KASGANJ
EB-10705,,AST-4615,SEC-054,JAJ,Planned Block,03:21,04:21,60,Track Maintenance Team,Active,Normal,Existing/Committed,2025-05-24,201,261,60,JAJ,JHAJHA
EB-10706,,AST-1713,SEC-406,HJI,Maintenance Block,23:13,00:13,60,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-09-28,1393,13,60,HJI,HOJAI
EB-10707,,AST-5622,SEC-417,MYS,Engineering Block,23:50,01:50,120,Signal Team,Confirmed,Normal,Existing/Committed,2025-08-28,1430,110,120,MYS,MYSORE JN
EB-10708,,AST-0858,SEC-185,PTKC,Maintenance Block,18:42,19:57,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-09-21,1122,1197,75,PTKC,PATHANKOT CANTT
EB-10709,,AST-5051,SEC-406,KNW,Planned Block,12:13,13:28,75,OHE Team,Confirmed,Normal,Existing/Committed,2026-01-28,733,808,75,KNW,KHANDWA
EB-10710,,AST-2357,SEC-006,LDH,Maintenance Block,14:25,16:25,120,Track Maintenance Team,Confirmed,High,Existing/Committed,2026-06-02,865,985,120,LDH,LUDHIANA JN
EB-10711,,AST-7327,SEC-380,MS,Maintenance Block,18:42,19:27,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-10-01,1122,1167,45,MS,CHENNAI EGMORE
EB-10712,,AST-6094,SEC-208,SWR,Planned Block,17:24,18:54,90,Track Maintenance Team,Active,Normal,Existing/Committed,2026-06-26,1044,1134,90,SWR,SONUA
EB-10713,,AST-2023,SEC-422,PND,Maintenance Block,02:00,03:15,75,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-08-29,120,195,75,PND,PENDRA ROAD
EB-10714,,AST-3666,SEC-078,BHLK,Engineering Block,01:04,03:04,120,Track Maintenance Team,Active,Normal,Existing/Committed,2025-07-28,64,184,120,BHLK,BHALKI
EB-10715,,AST-9755,SEC-196,TNA,Maintenance Block,01:54,02:24,30,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-11-02,114,144,30,TNA,THANE
EB-10716,,AST-5846,SEC-060,BPQ,Maintenance Block,17:36,18:21,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-01-30,1056,1101,45,BPQ,BALHARSHAH
EB-10717,,AST-4964,SEC-488,RRB,Maintenance Block,22:07,22:52,45,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-09-22,1327,1372,45,RRB,BIRUR JN
EB-10718,,AST-0382,SEC-375,ANF,Engineering Block,16:31,17:01,30,OHE Team,Planned,Normal,Existing/Committed,2024-12-08,991,1021,30,ANF,ANANDAPURAM
EB-10719,,AST-7586,SEC-329,PWS,Maintenance Block,23:34,00:34,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-23,1414,34,60,PWS,PHULWARI SHARIF
EB-10720,,AST-0536,SEC-250,KPY,Planned Block,02:22,03:07,45,Signal Team,Confirmed,High,Existing/Committed,2026-03-09,142,187,45,KPY,KARUNAGAPALLI
EB-10721,,AST-9172,SEC-226,BWT,Maintenance Block,01:25,01:55,30,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-01-29,85,115,30,BWT,BANGARAPET
EB-10722,,AST-7713,SEC-052,PUNE,Engineering Block,23:53,00:53,60,Track Maintenance Team,Confirmed,High,Existing/Committed,2025-09-15,1433,53,60,PUNE,PUNE JN
EB-10723,,AST-2503,SEC-183,MRA,Maintenance Block,12:52,13:52,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-01-11,772,832,60,MRA,MORENA
EB-10724,,AST-2474,SEC-330,MDJ,Maintenance Block,07:33,09:03,90,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-02-26,453,543,90,MDJ,MUHAMMADGANJ
EB-10725,,AST-9879,SEC-220,LRJ,Maintenance Block,18:03,20:03,120,Signal Team,Active,Normal,Existing/Committed,2026-04-07,1083,1203,120,LRJ,LAKSAR JN
EB-10726,,AST-0627,SEC-385,AJJ,Maintenance Block,21:52,23:52,120,OHE Team,Confirmed,High,Existing/Committed,2024-05-01,1312,1432,120,AJJ,ARAKKONAM
EB-10727,,AST-6506,SEC-322,MMR,Maintenance Block,22:28,00:28,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-02-13,1348,28,120,MMR,MANMAD JN
EB-10728,,AST-2829,SEC-099,VM,Maintenance Block,21:33,22:18,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-05-29,1293,1338,45,VM,VILLUPURAM JN
EB-10729,,AST-2677,SEC-093,VZM,Maintenance Block,18:22,19:07,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-04-05,1102,1147,45,VZM,VIZIANAGRAM JN
EB-10730,,AST-1309,SEC-011,BWSN,Maintenance Block,06:09,07:39,90,OHE Team,Confirmed,Normal,Existing/Committed,2026-05-13,369,459,90,BWSN,BIJWASAN
EB-10731,,AST-5121,SEC-298,DEOS,Maintenance Block,18:20,19:50,90,Signal Team,Active,Normal,Existing/Committed,2025-02-10,1100,1190,90,DEOS,DEORIA SADAR
EB-10732,,AST-3403,SEC-140,MWX,Engineering Block,01:24,02:09,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-07-19,84,129,45,MWX,MALLANWALA KHAS
EB-10733,,AST-2928,SEC-280,NLR,Maintenance Block,11:00,12:15,75,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-08-04,660,735,75,NLR,NELLORE
EB-10734,,AST-1304,SEC-130,LAV,Planned Block,04:53,05:38,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-02-10,293,338,45,LAV,LABHA
EB-10735,,AST-7577,SEC-355,KUR,Maintenance Block,03:47,05:17,90,OHE Team,Planned,Normal,Existing/Committed,2025-01-02,227,317,90,KUR,KHURDA ROAD JN
EB-10736,,AST-8745,SEC-416,MKP,Maintenance Block,07:54,09:54,120,OHE Team,Active,Normal,Existing/Committed,2026-02-02,474,594,120,MKP,MANIKPUR JN
EB-10737,,AST-7997,SEC-321,MDP,Maintenance Block,02:05,02:35,30,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-01-23,125,155,30,MDP,MADHUPUR JN
EB-10738,,AST-5989,SEC-415,HRV,Engineering Block,01:19,02:04,45,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-03-18,79,124,45,HRV,HARRAD
EB-10739,,AST-3879,SEC-038,ERS,Maintenance Block,17:49,18:19,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-03,1069,1099,30,ERS,ERNAKULAM JN
EB-10740,,AST-0647,SEC-463,PKQ,Maintenance Block,22:13,23:13,60,OHE Team,Confirmed,Normal,Existing/Committed,2024-10-21,1333,1393,60,PKQ,PATTIKKAD
EB-10741,,AST-6863,SEC-407,NLR,Maintenance Block,08:56,10:56,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-07-29,536,656,120,NLR,NELLORE
EB-10742,,AST-0776,SEC-183,GUNA,Maintenance Block,01:38,03:08,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-05-04,98,188,90,GUNA,GUNA
EB-10743,,AST-2112,SEC-201,VAPI,Maintenance Block,11:23,12:23,60,OHE Team,Active,High,Existing/Committed,2025-04-14,683,743,60,VAPI,VAPI
EB-10744,,AST-1302,SEC-022,SKZR,Maintenance Block,10:46,11:31,45,Track Maintenance Team,Active,Normal,Existing/Committed,2026-09-03,646,691,45,SKZR,SIRPUR KAGAZNGR
EB-10745,,AST-3180,SEC-073,GZN,Maintenance Block,10:25,12:25,120,OHE Team,Planned,High,Existing/Committed,2026-03-13,625,745,120,GZN,N GHAZIABAD
EB-10746,,AST-8319,SEC-072,KSG,Maintenance Block,14:02,15:17,75,Track Maintenance Team,Active,Normal,Existing/Committed,2024-01-10,842,917,75,KSG,KISHANGARH
EB-10747,,AST-6423,SEC-402,FZD,Maintenance Block,09:07,09:52,45,OHE Team,Planned,Normal,Existing/Committed,2025-07-24,547,592,45,FZD,FIROZABAD
EB-10748,,AST-5839,SEC-023,BPL,Engineering Block,20:19,21:19,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-07-30,1219,1279,60,BPL,BHOPAL JN
EB-10749,,AST-2538,SEC-491,HRI,Engineering Block,11:29,11:59,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-02-17,689,719,30,HRI,HARDOI
EB-10750,,AST-0923,SEC-335,LKO,Engineering Block,09:47,11:17,90,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-09-21,587,677,90,LKO,LUCKNOW NR
EB-10751,,AST-6700,SEC-177,BOY,Maintenance Block,14:25,15:10,45,Track Maintenance Team,Active,Normal,Existing/Committed,2025-05-15,865,910,45,BOY,BHADOHI
EB-10752,,AST-5606,SEC-454,BNN,Engineering Block,19:32,20:02,30,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-10-22,1172,1202,30,BNN,BARNALA
EB-10753,,AST-1466,SEC-246,ULT,Maintenance Block,19:24,20:54,90,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-10-03,1164,1254,90,ULT,KULTI
EB-10754,,AST-4455,SEC-282,NPD,Maintenance Block,20:18,21:18,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-08-22,1218,1278,60,NPD,NAWAPARA ROAD
EB-10755,,AST-6698,SEC-127,TK,Maintenance Block,07:20,08:20,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-12-15,440,500,60,TK,TUMKUR
EB-10756,,AST-1781,SEC-216,DOE,Maintenance Block,06:33,07:48,75,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-12-01,393,468,75,DOE,DEORI
EB-10757,,AST-2800,SEC-232,CAI,Maintenance Block,20:03,21:33,90,Signal Team,Confirmed,High,Existing/Committed,2024-05-20,1203,1293,90,CAI,CHANPATIA
EB-10758,,AST-2605,SEC-344,SBLT,Engineering Block,16:56,17:41,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-07-14,1016,1061,45,SBLT,SHRIBDRYA LATHI
EB-10759,,AST-4433,SEC-017,MABA,Maintenance Block,21:18,22:18,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-07-19,1278,1338,60,MABA,MANDI BAMORA
EB-10760,,AST-2736,SEC-127,PHR,Maintenance Block,19:24,21:24,120,Track Maintenance Team,Planned,Normal,Existing/Committed,2026-03-19,1164,1284,120,PHR,PHILLAUR JN
EB-10761,,AST-5692,SEC-396,ADH,Maintenance Block,16:51,17:36,45,Track Maintenance Team,Active,High,Existing/Committed,2024-06-29,1011,1056,45,ADH,ANDHERI
EB-10762,,AST-9855,SEC-238,OKA,Maintenance Block,11:57,12:57,60,Signal Team,Active,High,Existing/Committed,2024-07-17,717,777,60,OKA,OKHLA
EB-10763,,AST-0996,SEC-485,ERN,Maintenance Block,05:53,06:53,60,Signal Team,Planned,High,Existing/Committed,2026-02-25,353,413,60,ERN,ERNAKULAM TOWN
EB-10764,,AST-1859,SEC-119,DHD,Maintenance Block,10:50,11:35,45,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-11-06,650,695,45,DHD,DAHOD
EB-10765,,AST-5969,SEC-408,MYR,Maintenance Block,23:03,23:48,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-05-31,1383,1428,45,MYR,MAIHAR
EB-10766,,AST-6202,SEC-133,KOTA,Maintenance Block,18:49,20:19,90,Signal Team,Confirmed,Normal,Existing/Committed,2026-02-01,1129,1219,90,KOTA,KOTA JN
EB-10767,,AST-8366,SEC-318,WHM,Planned Block,23:29,00:44,75,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-07-21,1409,44,75,WHM,WASHIM
EB-10768,,AST-8766,SEC-220,ALJN,Maintenance Block,07:46,08:31,45,Signal Team,Confirmed,Normal,Existing/Committed,2024-06-16,466,511,45,ALJN,ALIGARH JN
EB-10769,,AST-9433,SEC-088,DBA,Maintenance Block,14:47,16:47,120,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-07,887,1007,120,DBA,DABRA
EB-10770,,AST-2011,SEC-256,DD,Maintenance Block,07:02,07:47,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2024-08-04,422,467,45,DD,DAUND JN
EB-10771,,AST-6843,SEC-230,BLS,Planned Block,21:16,23:16,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-02-04,1276,1396,120,BLS,BALASORE
EB-10772,,AST-7953,SEC-003,KIK,Maintenance Block,12:47,14:17,90,Bridge Inspection Team,Planned,High,Existing/Committed,2026-01-28,767,857,90,KIK,KARAIKAL
EB-10773,,AST-7268,SEC-095,KRP,Engineering Block,11:24,13:24,120,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-10-02,684,804,120,KRP,KRISHNAPUR
EB-10774,,AST-5300,SEC-113,DIA,Maintenance Block,19:03,20:03,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-03-05,1143,1203,60,DIA,DIDWANA
EB-10775,,AST-9325,SEC-340,NBR,Maintenance Block,01:31,02:46,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-06-26,91,166,75,NBR,NAMBURU
EB-10776,,AST-7478,SEC-283,DZA,Planned Block,07:08,09:08,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-06-18,428,548,120,DZA,DASUYA
EB-10777,,AST-9301,SEC-229,CRJ,Maintenance Block,07:44,08:44,60,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-01-16,464,524,60,CRJ,CHITTARANJAN
EB-10778,,AST-3059,SEC-129,TVP,Maintenance Block,20:52,21:37,45,OHE Team,Planned,Normal,Existing/Committed,2025-03-10,1252,1297,45,TVP,TRIVANDRUM PETT
EB-10779,,AST-6197,SEC-383,MVLK,Maintenance Block,05:37,06:22,45,Signal Team,Confirmed,Normal,Existing/Committed,2024-09-24,337,382,45,MVLK,MAVELIKARA
