block_request_id,asset_id,section_id,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min,station Code,Station Name
BR-04081,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,13:45,±30 min,Bridge Inspection Team,Urgent,Pending,825,30,795,855,DLGN,DHALGAON
BR-04082,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,10:15,±30 min,Signal Team,Urgent,Pending,615,30,585,645,JEUR,JEUR
BR-04083,AST-0104,SEC-038,HD,Signal Maintenance,30,High,22:15,Fixed,Signal Team,Normal,Pending,1335,0,1335,1335,HD,HARDA
BR-04084,AST-0163,SEC-050,RPH,Point Machine Maintenance,60,Critical,07:45,Fixed,Track Maintenance Team,Urgent,Pending,465,0,465,465,RPH,RAMPUR HAT
BR-04085,AST-0077,SEC-033,DLGN,Track Renewal,75,Low,12:45,Fixed,Bridge Inspection Team,Urgent,Pending,765,0,765,765,DLGN,DHALGAON
BR-04086,AST-0075,SEC-036,ARAG,OHE Inspection,60,Medium,13:30,±15 min,Bridge Inspection Team,Normal,Pending,810,15,795,825,ARAG,ARAG
BR-04087,AST-0077,SEC-033,DLGN,Track Renewal,45,Low,18:45,±30 min,Bridge Inspection Team,Urgent,Pending,1125,30,1095,1155,DLGN,DHALGAON
BR-04088,AST-0059,SEC-021,BD,Track Renewal,30,Medium,15:15,±60 min,Signal Team,Urgent,Pending,915,60,855,975,BD,BADNERA JN
BR-04089,AST-0141,SEC-022,SUR,Point Machine Maintenance,30,Medium,02:00,±15 min,Track Maintenance Team,Normal,Pending,120,15,105,135,SUR,SOLAPUR JN
BR-04090,AST-0197,SEC-020,AK,OHE Inspection,75,Medium,01:45,±15 min,Track Maintenance Team,Urgent,Pending,105,15,90,120,AK,AKOLA JN
BR-04091,AST-0098,SEC-049,HWH,Track Inspection,30,Medium,01:15,±30 min,OHE Team,Normal,Pending,75,30,45,105,HWH,HOWRAH JN
BR-04092,AST-0143,SEC-009,JMD,Track Inspection,60,Medium,17:45,±30 min,OHE Team,Urgent,Pending,1065,30,1035,1095,JMD,JAMDHA
BR-04093,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±15 min,Bridge Inspection Team,Normal,Pending,600,15,585,615,BINA,BINA JN
BR-04094,AST-0124,SEC-022,NAVI,Signal Maintenance,30,High,12:00,Fixed,Track Maintenance Team,Urgent,Pending,720,0,720,720,NAVI,NEW AMRAVATI
BR-04095,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±30 min,Track Maintenance Team,Normal,Pending,1275,30,1245,1305,KGP,KHARAGPUR JN
BR-04096,AST-0122,SEC-042,HBD,Bridge Inspection,75,High,13:45,±30 min,Track Maintenance Team,Normal,Pending,825,30,795,855,HBD,HOSHANGABAD
BR-04097,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±15 min,Track Maintenance Team,Normal,Pending,1275,15,1260,1290,KGP,KHARAGPUR JN
BR-04098,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,KGP,KHARAGPUR JN
BR-04099,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,Fixed,Bridge Inspection Team,Normal,Pending,795,0,795,795,BINA,BINA JN
BR-04100,AST-0124,SEC-022,NAVI,Rail Grinding,75,High,16:30,±15 min,Track Maintenance Team,Normal,Pending,990,15,975,1005,NAVI,NEW AMRAVATI
BR-04101,AST-0070,SEC-018,BDWD,Track Inspection,120,Medium,06:45,±15 min,Signal Team,Urgent,Pending,405,15,390,420,BDWD,BODWAD
BR-04102,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:15,Fixed,Track Maintenance Team,Normal,Pending,735,0,735,735,ARAG,ARAG
BR-04103,AST-0070,SEC-018,BDWD,Track Inspection,60,Medium,07:00,Fixed,Signal Team,Urgent,Pending,420,0,420,420,BDWD,BODWAD
BR-04104,AST-0063,SEC-019,MKU,Bridge Inspection,30,Low,20:45,Fixed,Signal Team,Normal,Pending,1245,0,1245,1245,MKU,MALKAPUR
BR-04105,AST-0171,SEC-012,KSRA,Track Inspection,30,High,15:15,Fixed,Track Maintenance Team,Normal,Pending,915,0,915,915,KSRA,KASARA
BR-04106,AST-0113,SEC-003,JTJ,Track Renewal,30,Medium,22:15,±30 min,OHE Team,Urgent,Pending,1335,30,1305,1365,JTJ,JOLARPETTAI
BR-04107,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,Fixed,Signal Team,Normal,Pending,45,0,45,45,VSKP,VISAKHAPATNAM
BR-04108,AST-0070,SEC-018,BDWD,Track Inspection,30,Medium,07:00,Fixed,Signal Team,Urgent,Pending,420,0,420,420,BDWD,BODWAD
BR-04109,AST-0063,SEC-019,MKU,Bridge Inspection,75,Low,10:15,±30 min,Signal Team,Normal,Pending,615,30,585,645,MKU,MALKAPUR
BR-04110,AST-0124,SEC-022,NAVI,Signal Maintenance,75,High,11:00,Fixed,Track Maintenance Team,Urgent,Pending,660,0,660,660,NAVI,NEW AMRAVATI
BR-04111,AST-0070,SEC-018,BDWD,Track Inspection,60,Medium,03:45,±30 min,Signal Team,Urgent,Pending,225,30,195,255,BDWD,BODWAD
BR-04112,AST-0121,SEC-028,CND,Track Renewal,30,High,12:00,±30 min,Track Maintenance Team,Urgent,Pending,720,30,690,750,CND,CHANDUR
BR-04113,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±30 min,Bridge Inspection Team,Normal,Pending,1275,30,1245,1305,KGP,KHARAGPUR JN
BR-04114,AST-0027,SEC-026,PRLI,Track Inspection,30,High,07:45,±30 min,Track Maintenance Team,Normal,Pending,465,30,435,495,PRLI,PARLI VAIJNATH
BR-04115,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±60 min,Bridge Inspection Team,Normal,Pending,1275,60,1215,1335,KGP,KHARAGPUR JN
BR-04116,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±30 min,OHE Team,Normal,Pending,75,30,45,105,HWH,HOWRAH JN
BR-04117,AST-0021,SEC-021,MZR,Signal Maintenance,45,High,07:15,±15 min,OHE Team,Normal,Pending,435,15,420,450,MZR,MURTAJAPUR
BR-04118,AST-0075,SEC-036,ARAG,Point Machine Maintenance,30,Medium,13:00,±15 min,Track Maintenance Team,Normal,Pending,780,15,765,795,ARAG,ARAG
BR-04119,AST-0075,SEC-036,ARAG,OHE Inspection,30,Medium,13:45,Fixed,Bridge Inspection Team,Normal,Pending,825,0,825,825,ARAG,ARAG
BR-04120,AST-0059,SEC-021,BD,Rail Grinding,30,Medium,04:45,±60 min,Track Maintenance Team,Normal,Pending,285,60,225,345,BD,BADNERA JN
BR-04121,AST-0126,SEC-041,GAR,Track Renewal,60,Medium,05:00,±60 min,Bridge Inspection Team,Normal,Pending,300,60,240,360,GAR,GADARWARA
BR-04122,AST-0059,SEC-021,BD,Rail Grinding,45,Medium,03:15,±30 min,Track Maintenance Team,Normal,Pending,195,30,165,225,BD,BADNERA JN
BR-04123,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:45,±30 min,Track Maintenance Team,Normal,Pending,765,30,735,795,ARAG,ARAG
BR-04124,AST-0159,SEC-029,PLO,OHE Inspection,30,Medium,18:00,Fixed,Bridge Inspection Team,Normal,Pending,1080,0,1080,1080,PLO,PULGAON JN
BR-04125,AST-0075,SEC-036,ARAG,Point Machine Maintenance,60,Medium,13:30,±30 min,Track Maintenance Team,Normal,Pending,810,30,780,840,ARAG,ARAG
BR-04126,AST-0098,SEC-049,HWH,Track Inspection,45,Medium,01:30,±30 min,OHE Team,Normal,Pending,90,30,60,120,HWH,HOWRAH JN
BR-04127,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±30 min,Track Maintenance Team,Normal,Pending,1275,30,1245,1305,KGP,KHARAGPUR JN
BR-04128,AST-0197,SEC-020,AK,OHE Inspection,75,Medium,01:45,±15 min,Track Maintenance Team,Urgent,Pending,105,15,90,120,AK,AKOLA JN
BR-04129,AST-0075,SEC-036,ARAG,OHE Inspection,90,Medium,13:15,Fixed,Bridge Inspection Team,Normal,Pending,795,0,795,795,ARAG,ARAG
BR-04130,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,Fixed,Track Maintenance Team,Normal,Pending,1275,0,1275,1275,KGP,KHARAGPUR JN
BR-04131,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,BINA,BINA JN
BR-04132,AST-0124,SEC-022,NAVI,Rail Grinding,90,High,11:00,±30 min,Track Maintenance Team,Normal,Pending,660,30,630,690,NAVI,NEW AMRAVATI
BR-04133,AST-0063,SEC-019,MKU,Bridge Inspection,75,Low,10:00,±30 min,Signal Team,Normal,Pending,600,30,570,630,MKU,MALKAPUR
BR-04134,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:45,±30 min,Track Maintenance Team,Normal,Pending,765,30,735,795,ARAG,ARAG
BR-04135,AST-0159,SEC-029,PLO,OHE Inspection,45,Medium,22:00,±30 min,Bridge Inspection Team,Normal,Pending,1320,30,1290,1350,PLO,PULGAON JN
BR-04136,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,Fixed,Bridge Inspection Team,Normal,Pending,1275,0,1275,1275,KGP,KHARAGPUR JN
BR-04137,AST-0143,SEC-009,JMD,Track Inspection,45,Medium,21:00,±15 min,OHE Team,Urgent,Pending,1260,15,1245,1275,JMD,JAMDHA
BR-04138,AST-0063,SEC-019,MKU,Bridge Inspection,30,Low,20:45,±30 min,Signal Team,Normal,Pending,1245,30,1215,1275,MKU,MALKAPUR
BR-04139,AST-0008,SEC-017,ANG,Track Renewal,30,Low,01:00,±60 min,OHE Team,Urgent,Pending,60,60,0,120,ANG,AHMADNAGAR
BR-04140,AST-0086,SEC-030,WR,Track Inspection,60,High,03:00,±60 min,Track Maintenance Team,Normal,Pending,180,60,120,240,WR,WARDHA JN
BR-04141,AST-0194,SEC-027,PAU,Rail Grinding,90,Low,19:00,±30 min,OHE Team,Urgent,Pending,1140,30,1110,1170,PAU,PURNA JN
BR-04142,AST-0124,SEC-022,NAVI,Rail Grinding,60,High,17:00,±60 min,Track Maintenance Team,Normal,Pending,1020,60,960,1080,NAVI,NEW AMRAVATI
BR-04143,AST-0075,SEC-036,ARAG,Point Machine Maintenance,120,Medium,12:30,Fixed,Track Maintenance Team,Normal,Pending,750,0,750,750,ARAG,ARAG
BR-04144,AST-0027,SEC-026,PRLI,Track Inspection,30,High,21:30,±30 min,Track Maintenance Team,Normal,Pending,1290,30,1260,1320,PRLI,PARLI VAIJNATH
BR-04145,AST-0086,SEC-030,WR,Track Inspection,75,High,05:30,±30 min,Track Maintenance Team,Normal,Pending,330,30,300,360,WR,WARDHA JN
BR-04146,AST-0008,SEC-017,ANG,Track Renewal,30,Low,19:15,±15 min,OHE Team,Urgent,Pending,1155,15,1140,1170,ANG,AHMADNAGAR
BR-04147,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,±30 min,Signal Team,Normal,Pending,45,30,15,75,VSKP,VISAKHAPATNAM
BR-04148,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±60 min,OHE Team,Normal,Pending,75,60,15,135,HWH,HOWRAH JN
BR-04149,AST-0124,SEC-022,NAVI,Rail Grinding,60,High,12:15,±30 min,Track Maintenance Team,Normal,Pending,735,30,705,765,NAVI,NEW AMRAVATI
BR-04150,AST-0027,SEC-026,PRLI,Track Inspection,30,High,20:30,±30 min,Track Maintenance Team,Normal,Pending,1230,30,1200,1260,PRLI,PARLI VAIJNATH
BR-04151,AST-0027,SEC-026,PRLI,Track Inspection,45,High,18:00,±30 min,Track Maintenance Team,Normal,Pending,1080,30,1050,1110,PRLI,PARLI VAIJNATH
BR-04152,AST-0059,SEC-021,BD,Track Renewal,30,Medium,11:45,±30 min,Signal Team,Urgent,Pending,705,30,675,735,BD,BADNERA JN
BR-04153,AST-0098,SEC-049,HWH,Track Inspection,45,Medium,02:00,±30 min,OHE Team,Normal,Pending,120,30,90,150,HWH,HOWRAH JN
BR-04154,AST-0027,SEC-026,PRLI,Track Inspection,60,High,04:30,±30 min,Track Maintenance Team,Normal,Pending,270,30,240,300,PRLI,PARLI VAIJNATH
BR-04155,AST-0027,SEC-026,PRLI,Track Inspection,30,High,01:00,±30 min,Track Maintenance Team,Normal,Pending,60,30,30,90,PRLI,PARLI VAIJNATH
BR-04156,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±60 min,Track Maintenance Team,Normal,Pending,1275,60,1215,1335,KGP,KHARAGPUR JN
BR-04157,AST-0021,SEC-021,MZR,Signal Maintenance,30,High,16:45,±30 min,OHE Team,Normal,Pending,1005,30,975,1035,MZR,MURTAJAPUR
BR-04158,AST-0124,SEC-022,NAVI,Signal Maintenance,75,High,16:45,Fixed,Track Maintenance Team,Urgent,Pending,1005,0,1005,1005,NAVI,NEW AMRAVATI
BR-04159,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,18:30,Fixed,Signal Team,Urgent,Pending,1110,0,1110,1110,JEUR,JEUR
BR-04160,AST-0059,SEC-021,BD,Track Renewal,60,Medium,04:30,±15 min,Signal Team,Urgent,Pending,270,15,255,285,BD,BADNERA JN
BR-04161,AST-0148,SEC-033,KVK,Signal Maintenance,60,Low,15:45,±30 min,Track Maintenance Team,Urgent,Pending,945,30,915,975,KVK,KAVATHE MAHANKL
BR-04162,AST-0098,SEC-049,HWH,Track Inspection,90,Medium,01:15,±30 min,OHE Team,Normal,Pending,75,30,45,105,HWH,HOWRAH JN
BR-04163,AST-0049,SEC-025,LTRR,Track Renewal,60,Medium,06:00,±30 min,OHE Team,Normal,Pending,360,30,330,390,LTRR,LATUR ROAD
BR-04164,AST-0141,SEC-022,SUR,Point Machine Maintenance,30,Medium,02:00,±15 min,Track Maintenance Team,Normal,Pending,120,15,105,135,SUR,SOLAPUR JN
BR-04165,AST-0049,SEC-025,LTRR,Track Renewal,90,Medium,07:30,±15 min,OHE Team,Normal,Pending,450,15,435,465,LTRR,LATUR ROAD
BR-04166,AST-0124,SEC-022,NAVI,Signal Maintenance,75,High,12:45,±30 min,Track Maintenance Team,Urgent,Pending,765,30,735,795,NAVI,NEW AMRAVATI
BR-04167,AST-0012,SEC-015,JEUR,Signal Maintenance,90,Low,16:00,±30 min,Bridge Inspection Team,Urgent,Pending,960,30,930,990,JEUR,JEUR
BR-04168,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,10:15,±15 min,Signal Team,Urgent,Pending,615,15,600,630,JEUR,JEUR
BR-04169,AST-0194,SEC-027,PAU,Rail Grinding,45,Low,19:30,±30 min,OHE Team,Urgent,Pending,1170,30,1140,1200,PAU,PURNA JN
BR-04170,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±30 min,Track Maintenance Team,Normal,Pending,1275,30,1245,1305,KGP,KHARAGPUR JN
BR-04171,AST-0075,SEC-036,ARAG,Point Machine Maintenance,60,Medium,13:30,Fixed,Track Maintenance Team,Normal,Pending,810,0,810,810,ARAG,ARAG
BR-04172,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,±15 min,Signal Team,Normal,Pending,45,15,30,60,VSKP,VISAKHAPATNAM
BR-04173,AST-0159,SEC-029,PLO,OHE Inspection,60,Medium,21:00,Fixed,Bridge Inspection Team,Normal,Pending,1260,0,1260,1260,PLO,PULGAON JN
BR-04174,AST-0127,SEC-010,DHI,Point Machine Maintenance,90,Medium,14:45,±30 min,Signal Team,Urgent,Pending,885,30,855,915,DHI,DHULE
BR-04175,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,Fixed,Bridge Inspection Team,Normal,Pending,1275,0,1275,1275,KGP,KHARAGPUR JN
BR-04176,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,00:45,±30 min,Signal Team,Urgent,Pending,45,30,15,75,JEUR,JEUR
BR-04177,AST-0027,SEC-026,PRLI,Track Inspection,60,High,10:00,±30 min,Track Maintenance Team,Normal,Pending,600,30,570,630,PRLI,PARLI VAIJNATH
BR-04178,AST-0090,SEC-043,HBJ,OHE Inspection,60,High,19:15,Fixed,Signal Team,Normal,Pending,1155,0,1155,1155,HBJ,HABIBGANJ
BR-04179,AST-0139,SEC-004,BNC,Signal Maintenance,30,Medium,15:30,±30 min,Track Maintenance Team,Urgent,Pending,930,30,900,960,BNC,BANGALORE CANT
BR-04180,AST-0124,SEC-022,NAVI,Rail Grinding,60,High,17:00,±15 min,Track Maintenance Team,Normal,Pending,1020,15,1005,1035,NAVI,NEW AMRAVATI
BR-04181,AST-0159,SEC-029,PLO,OHE Inspection,30,Medium,21:30,±30 min,Bridge Inspection Team,Normal,Pending,1290,30,1260,1320,PLO,PULGAON JN
BR-04182,AST-0127,SEC-010,DHI,Point Machine Maintenance,60,Medium,19:30,Fixed,Signal Team,Urgent,Pending,1170,0,1170,1170,DHI,DHULE
BR-04183,AST-0049,SEC-025,LTRR,Track Renewal,30,Medium,02:30,±30 min,OHE Team,Normal,Pending,150,30,120,180,LTRR,LATUR ROAD
BR-04184,AST-0077,SEC-033,DLGN,Track Renewal,45,Low,17:00,±30 min,Bridge Inspection Team,Urgent,Pending,1020,30,990,1050,DLGN,DHALGAON
BR-04185,AST-0047,SEC-017,ANG,Track Inspection,30,Critical,19:15,±15 min,Bridge Inspection Team,Normal,Pending,1155,15,1140,1170,ANG,AHMADNAGAR
BR-04186,AST-0171,SEC-012,KSRA,Track Inspection,30,High,07:00,±30 min,Track Maintenance Team,Normal,Pending,420,30,390,450,KSRA,KASARA
BR-04187,AST-0012,SEC-015,JEUR,Signal Maintenance,45,Low,03:15,±30 min,Bridge Inspection Team,Urgent,Pending,195,30,165,225,JEUR,JEUR
BR-04188,AST-0113,SEC-003,JTJ,Track Renewal,30,Medium,22:15,±30 min,OHE Team,Urgent,Pending,1335,30,1305,1365,JTJ,JOLARPETTAI
BR-04189,AST-0027,SEC-026,PRLI,Track Inspection,60,High,14:00,±30 min,Track Maintenance Team,Normal,Pending,840,30,810,870,PRLI,PARLI VAIJNATH
BR-04190,AST-0049,SEC-025,LTRR,Track Renewal,30,Medium,02:30,Fixed,OHE Team,Normal,Pending,150,0,150,150,LTRR,LATUR ROAD
BR-04191,AST-0077,SEC-033,DLGN,Track Renewal,90,Low,12:45,±15 min,Bridge Inspection Team,Urgent,Pending,765,15,750,780,DLGN,DHALGAON
BR-04192,AST-0124,SEC-022,NAVI,Signal Maintenance,90,High,12:45,±60 min,Track Maintenance Team,Urgent,Pending,765,60,705,825,NAVI,NEW AMRAVATI
BR-04193,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,13:00,±30 min,Track Maintenance Team,Normal,Pending,780,30,750,810,ARAG,ARAG
BR-04194,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,BINA,BINA JN
BR-04195,AST-0139,SEC-004,BNC,Signal Maintenance,30,Medium,17:45,±30 min,Track Maintenance Team,Urgent,Pending,1065,30,1035,1095,BNC,BANGALORE CANT
BR-04196,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,14:00,±30 min,Bridge Inspection Team,Urgent,Pending,840,30,810,870,DLGN,DHALGAON
BR-04197,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,03:30,±30 min,OHE Team,Normal,Pending,210,30,180,240,BD,BADNERA JN
BR-04198,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±15 min,Bridge Inspection Team,Normal,Pending,600,15,585,615,BINA,BINA JN
BR-04199,AST-0049,SEC-025,LTRR,Track Renewal,30,Medium,14:15,Fixed,OHE Team,Normal,Pending,855,0,855,855,LTRR,LATUR ROAD
BR-04200,AST-0177,SEC-015,JEUR,Signal Maintenance,45,Medium,07:45,±15 min,Signal Team,Urgent,Pending,465,15,450,480,JEUR,JEUR
BR-04201,AST-0127,SEC-010,DHI,Point Machine Maintenance,90,Medium,16:45,±30 min,Signal Team,Urgent,Pending,1005,30,975,1035,DHI,DHULE
BR-04202,AST-0042,SEC-020,SEG,Track Inspection,90,Low,16:00,±30 min,Track Maintenance Team,Normal,Pending,960,30,930,990,SEG,SHEGAON
BR-04203,AST-0177,SEC-015,JEUR,Signal Maintenance,30,Medium,18:45,±15 min,Signal Team,Urgent,Pending,1125,15,1110,1140,JEUR,JEUR
BR-04204,AST-0136,SEC-021,BD,Signal Maintenance,60,Medium,04:30,±30 min,OHE Team,Normal,Pending,270,30,240,300,BD,BADNERA JN
BR-04205,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,02:30,±15 min,Track Maintenance Team,Urgent,Pending,150,15,135,165,KVK,KAVATHE MAHANKL
BR-04206,AST-0090,SEC-043,HBJ,OHE Inspection,60,High,19:15,±30 min,Signal Team,Normal,Pending,1155,30,1125,1185,HBJ,HABIBGANJ
BR-04207,AST-0177,SEC-015,JEUR,Signal Maintenance,60,Medium,10:15,±60 min,Signal Team,Urgent,Pending,615,60,555,675,JEUR,JEUR
BR-04208,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,BINA,BINA JN
BR-04209,AST-0163,SEC-050,RPH,Point Machine Maintenance,75,Critical,07:30,±30 min,Track Maintenance Team,Urgent,Pending,450,30,420,480,RPH,RAMPUR HAT
BR-04210,AST-0124,SEC-022,NAVI,Signal Maintenance,75,High,12:45,±30 min,Track Maintenance Team,Urgent,Pending,765,30,735,795,NAVI,NEW AMRAVATI
BR-04211,AST-0059,SEC-021,BD,Rail Grinding,60,Medium,04:30,±30 min,Track Maintenance Team,Normal,Pending,270,30,240,300,BD,BADNERA JN
BR-04212,AST-0127,SEC-010,DHI,Point Machine Maintenance,90,Medium,05:30,±60 min,Signal Team,Urgent,Pending,330,60,270,390,DHI,DHULE
BR-04213,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±60 min,Bridge Inspection Team,Normal,Pending,1275,60,1215,1335,KGP,KHARAGPUR JN
BR-04214,AST-0049,SEC-025,LTRR,Track Renewal,60,Medium,12:00,±30 min,OHE Team,Normal,Pending,720,30,690,750,LTRR,LATUR ROAD
BR-04215,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:15,±60 min,Track Maintenance Team,Normal,Pending,735,60,675,795,ARAG,ARAG
BR-04216,AST-0027,SEC-026,PRLI,Track Inspection,30,High,21:30,±15 min,Track Maintenance Team,Normal,Pending,1290,15,1275,1305,PRLI,PARLI VAIJNATH
BR-04217,AST-0113,SEC-003,JTJ,Track Renewal,30,Medium,22:15,±60 min,OHE Team,Urgent,Pending,1335,60,1275,1395,JTJ,JOLARPETTAI
BR-04218,AST-0117,SEC-043,HBJ,Signal Maintenance,30,Critical,02:30,±30 min,Signal Team,Normal,Pending,150,30,120,180,HBJ,HABIBGANJ
BR-04219,AST-0104,SEC-038,HD,Signal Maintenance,120,High,11:30,Fixed,Signal Team,Normal,Pending,690,0,690,690,HD,HARDA
BR-04220,AST-0012,SEC-015,JEUR,Signal Maintenance,60,Low,16:00,±30 min,Bridge Inspection Team,Urgent,Pending,960,30,930,990,JEUR,JEUR
BR-04221,AST-0121,SEC-028,CND,Track Renewal,45,High,16:15,Fixed,Track Maintenance Team,Urgent,Pending,975,0,975,975,CND,CHANDUR
BR-04222,AST-0075,SEC-036,ARAG,OHE Inspection,90,Medium,13:00,±30 min,Bridge Inspection Team,Normal,Pending,780,30,750,810,ARAG,ARAG
BR-04223,AST-0027,SEC-026,PRLI,Track Inspection,60,High,10:00,±15 min,Track Maintenance Team,Normal,Pending,600,15,585,615,PRLI,PARLI VAIJNATH
BR-04224,AST-0197,SEC-020,AK,OHE Inspection,30,Medium,10:00,±30 min,Track Maintenance Team,Urgent,Pending,600,30,570,630,AK,AKOLA JN
BR-04225,AST-0141,SEC-022,SUR,Point Machine Maintenance,45,Medium,10:15,±60 min,Track Maintenance Team,Normal,Pending,615,60,555,675,SUR,SOLAPUR JN
BR-04226,AST-0121,SEC-028,CND,Track Renewal,120,High,04:00,±15 min,Track Maintenance Team,Urgent,Pending,240,15,225,255,CND,CHANDUR
BR-04227,AST-0082,SEC-007,JL,Track Renewal,30,Low,09:45,Fixed,Track Maintenance Team,Normal,Pending,585,0,585,585,JL,JALGAON JN
BR-04228,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±30 min,Bridge Inspection Team,Normal,Pending,795,30,765,825,BINA,BINA JN
BR-04229,AST-0183,SEC-008,PC,Signal Maintenance,60,High,02:00,±30 min,Bridge Inspection Team,Normal,Pending,120,30,90,150,PC,PACHORA JN
BR-04230,AST-0049,SEC-025,LTRR,Track Renewal,45,Medium,06:45,±30 min,OHE Team,Normal,Pending,405,30,375,435,LTRR,LATUR ROAD
BR-04231,AST-0075,SEC-036,ARAG,Point Machine Maintenance,120,Medium,12:45,±15 min,Track Maintenance Team,Normal,Pending,765,15,750,780,ARAG,ARAG
BR-04232,AST-0163,SEC-050,RPH,Point Machine Maintenance,75,Critical,07:45,±30 min,Track Maintenance Team,Urgent,Pending,465,30,435,495,RPH,RAMPUR HAT
BR-04233,AST-0012,SEC-015,JEUR,Signal Maintenance,30,Low,01:00,±15 min,Bridge Inspection Team,Urgent,Pending,60,15,45,75,JEUR,JEUR
BR-04234,AST-0012,SEC-015,JEUR,Signal Maintenance,30,Low,00:45,±15 min,Bridge Inspection Team,Urgent,Pending,45,15,30,60,JEUR,JEUR
BR-04235,AST-0027,SEC-026,PRLI,Track Inspection,30,High,04:45,±30 min,Track Maintenance Team,Normal,Pending,285,30,255,315,PRLI,PARLI VAIJNATH
BR-04236,AST-0027,SEC-026,PRLI,Track Inspection,45,High,07:30,Fixed,Track Maintenance Team,Normal,Pending,450,0,450,450,PRLI,PARLI VAIJNATH
BR-04237,AST-0159,SEC-029,PLO,OHE Inspection,30,Medium,18:00,±30 min,Bridge Inspection Team,Normal,Pending,1080,30,1050,1110,PLO,PULGAON JN
BR-04238,AST-0027,SEC-026,PRLI,Track Inspection,60,High,16:30,±30 min,Track Maintenance Team,Normal,Pending,990,30,960,1020,PRLI,PARLI VAIJNATH
BR-04239,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±30 min,Bridge Inspection Team,Normal,Pending,795,30,765,825,BINA,BINA JN
BR-04240,AST-0141,SEC-022,SUR,Point Machine Maintenance,30,Medium,02:00,±30 min,Track Maintenance Team,Normal,Pending,120,30,90,150,SUR,SOLAPUR JN
BR-04241,AST-0070,SEC-018,BDWD,Track Inspection,75,Medium,20:30,±30 min,Signal Team,Urgent,Pending,1230,30,1200,1260,BDWD,BODWAD
BR-04242,AST-0077,SEC-033,DLGN,OHE Inspection,90,Low,12:45,±30 min,Bridge Inspection Team,Urgent,Pending,765,30,735,795,DLGN,DHALGAON
BR-04243,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±15 min,Track Maintenance Team,Normal,Pending,1275,15,1260,1290,KGP,KHARAGPUR JN
BR-04244,AST-0012,SEC-015,JEUR,Signal Maintenance,60,Low,13:15,±30 min,Bridge Inspection Team,Urgent,Pending,795,30,765,825,JEUR,JEUR
BR-04245,AST-0141,SEC-022,SUR,Point Machine Maintenance,60,Medium,16:30,±15 min,Track Maintenance Team,Normal,Pending,990,15,975,1005,SUR,SOLAPUR JN
BR-04246,AST-0126,SEC-041,GAR,Track Inspection,30,Medium,16:15,±15 min,Bridge Inspection Team,Normal,Pending,975,15,960,990,GAR,GADARWARA
