asset_id,asset_type,section_id,nearest_station_code,age_years,condition_score,failure_count_24m,days_since_last_maintenance,usage_percent,criticality,asset_risk_score,maintenance_priority
AST-19858,Track,SEC-090,ET,35,41.43,2,509,67,Critical,67.37,High
AST-19859,OHE,SEC-136,GQL,16,63.18,3,881,39,Medium,51.06,Medium
AST-19860,Signal,SEC-149,NKE,17,75.47,1,448,48,Medium,35.15,Medium
AST-19861,Track,SEC-133,SPN,26,73.77,1,244,22,Low,22.52,Low
AST-19862,Point Machine,SEC-018,FD,15,70.78,2,551,67,High,47.88,Medium
AST-19863,Point Machine,SEC-024,AF,25,69.41,2,352,68,Low,16.71,Low
AST-19864,Signal,SEC-198,PBH,23,58.77,1,442,30,Critical,62.84,High
AST-19865,Signal,SEC-125,UJN,31,65.94,3,464,70,Medium,34.76,Low
AST-19866,Level Crossing,SEC-185,KYN,15,76.04,3,747,99,Medium,44.22,Medium
AST-19867,Track,SEC-322,BTD,24,53.79,6,888,27,High,69.21,High
AST-19868,Bridge,SEC-142,BAHI,14,73.67,3,88,52,High,50.35,Medium
AST-19869,Track,SEC-148,SRE,25,53.08,3,533,73,Critical,71.97,High
AST-19870,Track,SEC-060,ASR,27,57.42,1,798,71,Medium,49.67,Medium
AST-19871,OHE,SEC-096,MAQ,17,73.09,3,146,67,High,44.05,Medium
AST-19872,Signal,SEC-053,NRI,14,73.1,4,394,27,Critical,63.3,High
AST-19873,Bridge,SEC-263,KPKD,22,74.43,3,45,42,Critical,56.77,High
AST-19874,Level Crossing,SEC-282,KAWR,18,67.42,2,402,39,High,46.8,Medium
AST-19875,Signal,SEC-215,STA,23,56.32,1,716,71,Low,39.07,Medium
AST-19876,OHE,SEC-303,BAM,15,77.26,4,378,71,Medium,41.84,Medium
AST-19877,Bridge,SEC-179,GKB,18,64.98,1,501,40,High,49.83,Medium
AST-19878,Track,SEC-455,MSMD,1,88.12,0,479,49,High,43.96,Medium
AST-19879,OHE,SEC-364,TOK,18,65.4,0,46,70,Low,19.73,Low
AST-19880,Level Crossing,SEC-041,EKC,35,51.03,3,464,44,High,64.94,High
AST-19881,OHE,SEC-090,CTC,25,69.26,3,13,67,Critical,57.08,High
AST-19882,Bridge,SEC-421,MOG,3,73.18,2,310,45,Critical,54.44,Medium
AST-19883,OHE,SEC-348,KUR,16,54.13,1,459,73,Medium,40.94,Medium
AST-19884,Point Machine,SEC-464,PURI,14,69.18,2,686,62,Medium,34.75,Low
AST-19885,Signal,SEC-093,ND,18,62.46,3,418,57,Medium,40.16,Medium
AST-19886,OHE,SEC-164,HAPA,6,54.66,5,576,78,Critical,76.82,Critical
AST-19887,Point Machine,SEC-279,KPD,11,76.0,3,620,41,High,55.57,High
AST-19888,Level Crossing,SEC-496,BDVT,31,61.55,2,453,69,Critical,67.3,High
AST-19889,OHE,SEC-476,MBM,32,53.87,3,458,64,Medium,34.85,Low
AST-19890,Track,SEC-460,JHS,18,43.94,5,709,70,High,72.76,High
AST-19891,Track,SEC-201,HYB,33,55.58,1,266,74,Medium,42.02,Medium
AST-19892,Bridge,SEC-295,KIUL,24,49.94,6,682,20,High,48.18,Medium
AST-19893,Signal,SEC-154,NOQ,29,75.87,3,216,21,Medium,33.16,Low
AST-19894,Point Machine,SEC-441,PAU,8,84.08,0,103,76,High,37.9,Medium
AST-19895,Level Crossing,SEC-423,PKQ,6,76.87,0,359,60,High,49.92,Medium
AST-19896,Signal,SEC-290,GAR,22,50.87,1,469,63,High,55.3,High
AST-19897,OHE,SEC-061,BYT,28,51.76,4,636,73,Critical,72.17,High
AST-19898,Point Machine,SEC-211,WKR,4,91.08,2,480,79,Critical,70.38,High
AST-19899,Signal,SEC-468,NGP,16,47.99,1,394,100,High,55.33,High
AST-19900,OHE,SEC-305,GAYA,28,67.93,1,427,20,Medium,38.27,Medium
AST-19901,Bridge,SEC-059,KJH,33,52.41,5,837,60,Critical,79.84,Critical
AST-19902,Track,SEC-069,PRR,14,72.99,1,119,67,High,42.18,Medium
AST-19903,Level Crossing,SEC-138,IDG,11,74.85,5,611,35,Critical,55.17,High
AST-19904,Track,SEC-234,FA,19,45.26,6,721,100,Medium,57.34,High
AST-19905,Bridge,SEC-348,STA,17,57.41,4,645,38,High,67.82,High
AST-19906,OHE,SEC-252,GJL,10,53.19,1,400,87,Medium,45.84,Medium
AST-19907,OHE,SEC-282,GZN,20,56.81,6,692,70,Low,41.06,Medium
AST-19908,Point Machine,SEC-239,HSI,30,54.32,3,443,47,Medium,50.63,Medium
AST-19909,Track,SEC-423,NMP,17,57.99,6,605,79,High,64.9,High
AST-19910,Bridge,SEC-415,BINA,27,67.08,1,128,62,Medium,34.44,Low
AST-19911,Point Machine,SEC-136,DR,26,47.74,2,501,62,High,73.91,High
AST-19912,Level Crossing,SEC-107,LMG,26,72.66,2,99,48,Critical,51.13,Medium
AST-19913,OHE,SEC-140,JSME,20,71.01,1,144,67,Low,23.51,Low
AST-19914,Bridge,SEC-419,KYN,14,84.34,3,513,40,Medium,34.51,Low
AST-19915,Track,SEC-339,BSB,15,84.09,0,249,35,High,36.59,Medium
AST-19916,Level Crossing,SEC-214,DD,31,57.68,7,558,64,Low,45.4,Medium
AST-19917,Signal,SEC-036,AH,22,65.68,2,488,60,High,50.87,Medium
AST-19918,OHE,SEC-445,MABD,30,47.26,7,819,75,High,75.91,Critical
AST-19919,Bridge,SEC-133,KJH,29,45.74,5,481,58,Medium,53.56,Medium
AST-19920,Track,SEC-009,SWE,19,70.8,0,426,45,High,50.53,Medium
AST-19921,Signal,SEC-153,BRC,9,76.78,1,346,89,High,52.83,Medium
AST-19922,OHE,SEC-032,KIR,22,86.38,3,28,31,Medium,29.79,Low
AST-19923,Signal,SEC-096,UBC,16,67.84,2,528,70,Critical,68.53,High
AST-19924,Track,SEC-027,BZA,21,64.94,0,271,58,Medium,42.02,Medium
AST-19925,Bridge,SEC-015,GDG,32,59.55,3,474,53,Low,33.42,Low
AST-19926,Signal,SEC-237,BQA,12,75.11,0,236,52,Medium,15.83,Low
AST-19927,Bridge,SEC-080,BWH,35,52.73,3,13,65,High,49.06,Medium
AST-19928,Track,SEC-483,BALU,12,67.54,3,542,71,Medium,45.65,Medium
AST-19929,OHE,SEC-374,ASK,24,61.91,2,299,82,Medium,51.09,Medium
AST-19930,Track,SEC-139,TNA,32,53.21,3,609,23,Low,37.75,Medium
AST-19931,Point Machine,SEC-485,PGW,29,63.15,3,359,32,Critical,62.15,High
AST-19932,OHE,SEC-123,SSM,8,66.6,1,97,88,Medium,32.14,Low
AST-19933,Track,SEC-071,RUPC,18,68.22,1,323,100,High,55.08,High
AST-19934,Point Machine,SEC-153,JUD,29,51.33,3,494,51,High,53.65,Medium
AST-19935,Bridge,SEC-177,SLI,23,57.38,5,524,78,Medium,53.08,Medium
AST-19936,Signal,SEC-476,NAD,12,83.14,3,442,51,Medium,36.24,Medium
AST-19937,OHE,SEC-181,CRY,12,79.99,0,18,67,Low,14.14,Low
AST-19938,Bridge,SEC-060,SHF,9,70.09,1,262,64,Medium,31.66,Low
AST-19939,Point Machine,SEC-482,KKGM,27,70.96,5,132,34,Critical,60.68,High
AST-19940,Bridge,SEC-117,PGI,21,60.52,4,13,32,Critical,61.02,High
AST-19941,Signal,SEC-169,RU,27,43.85,4,785,73,High,66.06,High
AST-19942,Level Crossing,SEC-246,KSNG,25,63.4,3,854,48,Medium,50.49,Medium
AST-19943,Point Machine,SEC-422,RMT,12,63.22,4,783,79,Low,39.72,Medium
AST-19944,OHE,SEC-036,BLS,30,85.44,2,214,37,Medium,31.17,Low
AST-19945,Track,SEC-118,BMH,11,77.63,4,505,32,Medium,46.06,Medium
AST-19946,Point Machine,SEC-204,PGW,32,52.9,2,481,79,Medium,41.62,Medium
AST-19947,Signal,SEC-165,VPT,9,68.05,0,500,40,Medium,35.6,Medium
AST-19948,Track,SEC-446,DPE,1,78.91,2,257,42,Critical,55.62,High
AST-19949,OHE,SEC-289,FZD,15,73.47,2,208,48,High,44.96,Medium
AST-19950,Point Machine,SEC-450,R,22,59.62,3,608,45,Low,39.88,Medium
AST-19951,OHE,SEC-164,KGG,29,47.83,6,662,75,Medium,55.95,High
AST-19952,OHE,SEC-494,JUDW,7,70.54,1,703,60,High,59.78,High
AST-19953,Point Machine,SEC-286,PTKC,15,69.53,2,370,100,High,51.79,Medium
AST-19954,Bridge,SEC-473,KNW,17,65.73,3,580,80,High,60.43,High
AST-19955,OHE,SEC-163,MUGA,5,72.55,2,360,45,High,39.3,Medium
AST-19956,Signal,SEC-340,URL,15,54.45,2,456,93,High,56.26,High
AST-19957,Signal,SEC-443,JLN,24,56.03,3,593,41,Medium,51.18,Medium
AST-19958,OHE,SEC-472,JKA,25,65.71,4,627,55,Critical,62.02,High
AST-19959,Level Crossing,SEC-098,JAJ,16,57.95,2,844,57,Medium,53.04,Medium
AST-19960,Signal,SEC-300,KKU,35,58.6,5,576,37,High,58.94,High
AST-19961,Level Crossing,SEC-006,RRB,17,68.42,1,242,77,High,45.11,Medium
AST-19962,Point Machine,SEC-484,GLPT,32,65.69,2,307,71,Critical,65.91,High
AST-19963,OHE,SEC-328,KMD,13,58.14,4,797,46,Critical,76.74,Critical
AST-19964,Track,SEC-049,ARA,6,79.3,1,377,56,High,48.38,Medium
AST-19965,Signal,SEC-199,MMM,21,64.17,2,295,37,High,46.88,Medium
AST-19966,Bridge,SEC-165,BXR,17,63.52,4,685,46,Medium,39.18,Medium
AST-19967,Level Crossing,SEC-314,KTHU,25,50.56,5,645,75,Low,46.52,Medium
AST-19968,Signal,SEC-221,RNC,29,52.54,3,250,77,Medium,53.04,Medium
AST-19969,Bridge,SEC-352,OGL,16,66.99,1,291,51,High,51.37,Medium
AST-19970,Bridge,SEC-489,PPO,6,86.72,2,446,95,Medium,33.62,Low
AST-19971,Level Crossing,SEC-104,SBC,15,70.76,1,705,62,Critical,70.92,High
AST-19972,Track,SEC-035,DLI,22,80.78,2,282,30,High,42.57,Medium
AST-19973,Level Crossing,SEC-108,DAB,17,82.14,3,201,59,Low,16.63,Low
AST-19974,Signal,SEC-234,WKR,15,76.66,2,13,71,Low,14.2,Low
AST-19975,Signal,SEC-033,SC,12,88.34,0,456,61,High,43.28,Medium
AST-19976,OHE,SEC-059,UDZ,15,69.29,3,305,53,Critical,69.42,High
AST-19977,Track,SEC-379,GP,20,70.99,2,453,56,Low,29.68,Low
AST-19978,Level Crossing,SEC-020,NNN,21,39.36,3,888,43,Low,53.25,Medium
AST-19979,OHE,SEC-345,HJI,23,59.28,6,368,53,Critical,70.64,High
AST-19980,Bridge,SEC-191,BE,8,79.42,2,640,20,Medium,28.53,Low
AST-19981,OHE,SEC-209,BLS,7,95.24,1,230,58,Critical,49.29,Medium
AST-19982,Signal,SEC-288,JAIS,17,75.36,1,336,64,Medium,40.67,Medium
AST-19983,Level Crossing,SEC-231,PGT,16,70.54,2,794,25,Medium,45.39,Medium
AST-19984,Bridge,SEC-001,CHJ,24,56.79,2,167,44,Medium,29.97,Low
AST-19985,Bridge,SEC-119,KXG,21,42.45,4,772,47,Critical,87.62,Critical
AST-19986,Point Machine,SEC-272,CKX,4,74.49,4,450,48,High,55.4,High
AST-19987,Bridge,SEC-147,GKP,28,67.15,3,242,20,Critical,57.5,High
AST-19988,Signal,SEC-378,LKO,7,62.06,0,864,26,Low,35.11,Medium
AST-19989,Bridge,SEC-172,TATA,19,73.02,3,684,20,High,46.68,Medium
AST-19990,Point Machine,SEC-203,JTJ,1,70.73,0,466,80,High,61.18,High
AST-19991,Bridge,SEC-247,KCVL,10,74.2,1,487,74,Critical,67.66,High
AST-19992,Signal,SEC-313,BPRH,21,61.04,3,383,72,Critical,70.51,High
AST-19993,Bridge,SEC-017,RSI,26,77.53,3,454,39,Low,27.64,Low
AST-19994,Bridge,SEC-089,UHP,24,69.95,1,280,39,Medium,35.52,Medium
AST-19995,Point Machine,SEC-486,AJNI,18,70.02,3,244,45,Medium,29.18,Low
AST-19996,OHE,SEC-210,PNK,8,92.93,4,247,42,High,43.4,Medium
AST-19997,OHE,SEC-128,GDU,24,68.88,0,169,100,Critical,58.37,High
AST-19998,Signal,SEC-079,YNK,34,60.03,3,313,84,High,52.43,Medium
AST-19999,OHE,SEC-458,BXR,23,62.14,4,531,87,High,63.87,High
AST-20000,Point Machine,SEC-230,SMBX,24,54.43,2,849,34,Medium,53.64,Medium
AST-20001,Point Machine,SEC-480,KPLE,14,74.31,2,366,64,Critical,57.02,High
AST-20002,Signal,SEC-374,KRR,35,51.84,2,589,51,High,59.51,High
AST-20003,Bridge,SEC-239,SLN,25,38.1,3,648,81,Critical,79.44,Critical
AST-20004,Signal,SEC-480,LTT,35,57.13,5,888,85,High,75.42,Critical
AST-20005,Point Machine,SEC-034,MWM,17,78.57,0,264,30,High,37.76,Medium
AST-20006,Level Crossing,SEC-414,MXN,23,68.47,2,374,64,Critical,63.62,High
AST-20007,Signal,SEC-459,AMPA,26,40.95,4,746,91,High,66.53,High
AST-20008,Track,SEC-370,KAWR,20,69.19,2,321,82,High,47.54,Medium
AST-20009,Signal,SEC-284,DCU,21,73.83,3,346,76,Medium,42.7,Medium
AST-20010,Signal,SEC-405,MGS,24,60.35,4,443,61,High,56.49,High
AST-20011,Bridge,SEC-362,LJN,29,60.53,0,454,48,Critical,69.79,High
AST-20012,OHE,SEC-486,SKB,18,74.77,4,530,35,High,53.0,Medium
AST-20013,Point Machine,SEC-149,CPH,22,79.21,3,133,100,Critical,59.4,High
AST-20014,OHE,SEC-237,ST,27,54.95,1,486,100,Low,29.04,Low
AST-20015,Point Machine,SEC-051,TNA,6,54.03,3,888,45,Medium,55.9,High
AST-20016,Bridge,SEC-004,BSL,16,60.77,2,164,30,Medium,31.5,Low
AST-20017,Point Machine,SEC-255,SR,3,73.23,2,314,66,High,46.24,Medium
AST-20018,OHE,SEC-027,VPT,19,71.42,1,391,61,Medium,36.01,Medium
AST-20019,Point Machine,SEC-357,APT,22,67.61,2,608,61,Medium,49.17,Medium
AST-20020,Track,SEC-460,PRH,24,71.66,2,235,37,Critical,56.46,High
AST-20021,Bridge,SEC-260,CLX,15,75.44,1,288,85,Critical,61.98,High
AST-20022,Track,SEC-175,BTE,6,95.36,0,13,40,Critical,45.6,Medium
AST-20023,Bridge,SEC-167,BRJN,18,79.76,2,377,42,High,44.89,Medium
AST-20024,Level Crossing,SEC-408,KVZ,26,50.93,5,801,84,High,65.17,High
AST-20025,Point Machine,SEC-044,RJY,35,73.97,1,462,44,High,59.18,High
AST-20026,Track,SEC-480,JBP,9,77.88,0,436,65,Medium,36.02,Medium
AST-20027,Bridge,SEC-164,AF,15,78.29,3,152,50,Low,19.55,Low
AST-20028,Signal,SEC-070,PTKC,27,52.73,1,520,77,Critical,74.14,High
AST-20029,Point Machine,SEC-236,CNDM,9,81.98,4,251,53,Critical,59.25,High
AST-20030,Point Machine,SEC-214,CGY,17,66.32,4,341,48,Medium,42.01,Medium
AST-20031,Track,SEC-001,BDWD,18,79.14,5,524,35,Low,24.12,Low
AST-20032,Point Machine,SEC-114,BJE,2,89.78,2,142,31,Low,12.78,Low
AST-20033,Bridge,SEC-387,KVZ,26,56.53,2,448,96,Critical,70.4,High
AST-20034,Bridge,SEC-125,RE,21,51.1,3,191,100,Medium,42.89,Medium
AST-20035,Track,SEC-329,LM,1,79.92,4,311,62,Medium,30.23,Low
AST-20036,Point Machine,SEC-164,KTE,16,62.49,2,482,84,Medium,48.21,Medium
AST-20037,Signal,SEC-125,ET,35,57.59,3,502,34,High,68.73,High
AST-20038,Bridge,SEC-400,BIDR,16,83.0,3,127,38,High,46.82,Medium
AST-20039,Level Crossing,SEC-480,TCR,6,64.67,3,664,62,Medium,43.65,Medium
AST-20040,Point Machine,SEC-321,BBK,27,47.58,5,335,48,High,66.63,High
AST-20041,Track,SEC-092,NLR,25,64.76,2,450,74,Low,40.32,Medium
AST-20042,OHE,SEC-290,MFP,17,67.88,1,521,22,Critical,62.31,High
AST-20043,Signal,SEC-307,BVP,16,70.32,3,403,64,Medium,44.1,Medium
AST-20044,Bridge,SEC-103,MAU,24,53.33,2,516,72,Critical,62.04,High
AST-20045,OHE,SEC-368,BTE,20,54.82,2,636,67,High,66.19,High
AST-20046,Point Machine,SEC-487,BTC,32,71.38,6,244,35,Medium,35.86,Medium
AST-20047,OHE,SEC-152,FZD,13,62.61,3,745,58,Critical,64.76,High
AST-20048,Level Crossing,SEC-076,MKU,1,99.0,0,13,33,High,26.33,Low
AST-20049,OHE,SEC-102,KTE,3,68.33,4,709,67,High,64.58,High
AST-20050,OHE,SEC-177,SAN,35,72.68,0,49,58,High,40.85,Medium
AST-20051,OHE,SEC-411,BSP,9,55.85,7,753,59,Low,41.1,Medium
AST-20052,OHE,SEC-170,TLH,23,60.66,2,429,62,Medium,38.33,Medium
AST-20053,OHE,SEC-122,BKP,2,73.56,0,188,63,Medium,26.7,Low
AST-20054,Track,SEC-263,BGK,11,74.54,1,167,63,High,48.43,Medium
AST-20055,Point Machine,SEC-214,DIA,24,51.58,1,757,75,Medium,51.77,Medium
AST-20056,Track,SEC-033,LUR,22,78.65,2,157,71,Critical,60.23,High
AST-20057,Level Crossing,SEC-011,KNDI,20,69.93,2,372,85,Medium,31.66,Low
AST-20058,Point Machine,SEC-170,DD,25,65.53,1,140,74,Low,23.49,Low
AST-20059,Level Crossing,SEC-343,AWY,35,56.99,1,565,80,High,57.18,High
AST-20060,Signal,SEC-054,KART,11,69.58,2,664,100,High,55.0,High
AST-20061,OHE,SEC-235,BPL,18,79.34,2,280,95,Critical,59.63,High
AST-20062,Point Machine,SEC-168,MUD,22,61.11,3,392,90,High,49.97,Medium
AST-20063,Signal,SEC-245,PDL,17,81.47,5,772,20,High,55.57,High
AST-20064,OHE,SEC-218,DHG,11,62.93,4,413,64,High,59.65,High
AST-20065,Track,SEC-474,DO,31,62.29,5,125,59,Critical,73.45,High
AST-20066,Signal,SEC-032,JVN,13,99.0,4,296,50,Critical,62.3,High
AST-20067,Level Crossing,SEC-035,DGHA,25,63.92,3,298,20,Critical,62.31,High
AST-20068,Point Machine,SEC-395,BAM,31,67.28,3,570,51,Medium,48.96,Medium
AST-20069,OHE,SEC-368,MFP,14,60.63,5,755,70,Medium,44.88,Medium
AST-20070,Bridge,SEC-276,JITE,35,48.31,1,627,61,High,65.44,High
AST-20071,Bridge,SEC-376,GWL,31,59.35,1,372,49,Medium,44.29,Medium
AST-20072,Level Crossing,SEC-377,CUE,15,73.76,1,369,58,High,47.65,Medium
AST-20073,OHE,SEC-063,AGN,18,55.52,2,847,48,High,67.33,High
AST-20074,Signal,SEC-363,KNW,15,70.71,2,388,52,High,49.69,Medium
AST-20075,Point Machine,SEC-483,GUNA,18,63.85,4,768,71,High,61.93,High
AST-20076,Level Crossing,SEC-093,DEC,7,88.9,1,188,60,Medium,29.23,Low
AST-20077,OHE,SEC-301,KMBL,9,75.59,2,81,64,Medium,23.17,Low
AST-20078,OHE,SEC-396,RJY,35,58.85,4,570,66,Low,43.22,Medium
AST-20079,Track,SEC-193,DVD,24,73.12,3,33,69,Medium,39.43,Medium
AST-20080,OHE,SEC-032,RGI,22,55.98,6,676,46,High,63.81,High
AST-20081,Bridge,SEC-266,KQR,14,59.66,2,560,20,Critical,57.31,High
AST-20082,OHE,SEC-167,ANKX,25,55.56,6,888,63,Low,46.49,Medium
AST-20083,OHE,SEC-089,AN,30,66.0,3,207,57,Medium,42.31,Medium
AST-20084,OHE,SEC-110,KWV,33,50.65,1,354,47,High,54.41,Medium
AST-20085,Signal,SEC-307,DUD,31,50.74,0,211,69,Medium,46.89,Medium
AST-20086,Signal,SEC-125,WIRR,32,55.23,2,280,75,Low,29.47,Low
AST-20087,Track,SEC-429,HWH,20,45.51,6,821,35,High,70.12,High
AST-20088,Bridge,SEC-255,BBS,23,79.82,3,191,51,High,52.68,Medium
AST-20089,Point Machine,SEC-207,ED,8,69.77,2,501,74,Medium,37.84,Medium
AST-20090,Track,SEC-231,PDL,26,56.22,2,516,59,Medium,50.07,Medium
AST-20091,Point Machine,SEC-225,CDGR,22,54.46,2,888,70,Medium,66.6,High
AST-20092,Signal,SEC-290,BPL,18,70.7,0,158,73,High,41.03,Medium
AST-20093,OHE,SEC-302,TUP,9,62.98,6,647,43,Medium,37.82,Medium
AST-20094,OHE,SEC-250,KBJ,15,73.13,4,298,64,Medium,34.41,Low
AST-20095,Track,SEC-105,BSP,35,55.29,3,191,76,Medium,43.31,Medium
AST-20096,OHE,SEC-231,PCH,21,75.66,3,317,35,High,47.25,Medium
AST-20097,Bridge,SEC-029,TDD,16,80.85,2,525,20,Medium,35.16,Medium
AST-20098,OHE,SEC-200,RPJ,19,57.37,3,888,40,Critical,81.24,Critical
AST-20099,Signal,SEC-197,GTK,16,72.99,2,876,68,Critical,68.61,High
AST-20100,Level Crossing,SEC-123,DPA,26,78.94,4,121,74,Critical,53.16,Medium
AST-20101,Level Crossing,SEC-095,MCI,14,65.81,4,886,83,Medium,55.3,High
AST-20102,Track,SEC-463,BYNR,17,59.58,5,629,50,High,67.96,High
AST-20103,OHE,SEC-036,BOR,33,46.53,5,378,60,High,63.68,High
AST-20104,Track,SEC-404,NK,23,60.32,8,345,58,High,62.99,High
AST-20105,OHE,SEC-190,SLI,22,52.85,4,565,100,High,74.81,High
AST-20106,OHE,SEC-129,YG,22,56.68,3,495,53,High,58.92,High
AST-20107,OHE,SEC-463,ANND,12,72.44,1,467,72,High,39.14,Medium
AST-20108,Point Machine,SEC-151,KIR,16,66.75,4,438,61,Critical,63.08,High
AST-20109,Signal,SEC-369,CDGR,13,61.13,0,555,60,High,68.09,High
AST-20110,Signal,SEC-329,BSP,10,73.31,4,547,37,High,55.68,High
AST-20111,OHE,SEC-257,ANGL,23,68.1,5,628,61,Medium,43.36,Medium
AST-20112,OHE,SEC-488,KSB,35,58.43,4,435,71,High,61.13,High
AST-20113,Track,SEC-117,TOK,15,49.02,1,752,67,Medium,48.55,Medium
AST-20114,Signal,SEC-079,KOP,13,72.61,3,474,73,High,53.15,Medium
AST-20115,Signal,SEC-361,DWO,25,44.09,3,682,60,High,66.2,High
AST-20116,OHE,SEC-384,HIJ,28,69.59,0,174,58,High,38.95,Medium
AST-20117,OHE,SEC-207,DAL,20,72.4,2,374,21,Critical,61.68,High
AST-20118,OHE,SEC-140,MHD,35,42.98,8,888,55,Medium,67.56,High
AST-20119,OHE,SEC-279,ALNI,23,61.69,0,312,73,Medium,37.94,Medium
AST-20120,Bridge,SEC-042,GWA,13,86.86,1,139,48,High,31.31,Low
AST-20121,Level Crossing,SEC-352,KPD,27,69.73,3,63,39,Medium,35.96,Medium
AST-20122,OHE,SEC-397,SJN,13,75.18,4,305,71,Medium,30.19,Low
AST-20123,Track,SEC-461,KNN,12,82.59,1,261,50,Critical,52.93,Medium
AST-20124,Bridge,SEC-260,MLDT,26,66.52,2,588,56,Low,40.3,Medium
AST-20125,Track,SEC-387,BAP,28,47.41,3,351,68,High,55.05,High
AST-20126,Track,SEC-113,JSME,17,70.06,0,495,58,Medium,34.71,Low
AST-20127,Track,SEC-475,SRR,28,58.53,8,885,79,Critical,91.91,Critical
AST-20128,Level Crossing,SEC-395,IAA,23,80.48,3,56,31,Medium,28.31,Low
AST-20129,Signal,SEC-001,SRU,35,51.93,2,728,53,Medium,49.33,Medium
AST-20130,Level Crossing,SEC-197,DEE,11,85.26,2,685,72,High,51.31,Medium
AST-20131,Track,SEC-445,HTZ,8,83.9,0,412,64,Low,30.3,Low
AST-20132,Track,SEC-273,NDB,11,75.59,0,340,66,High,45.1,Medium
AST-20133,Signal,SEC-123,DMO,28,68.36,1,300,31,Critical,58.83,High
AST-20134,OHE,SEC-162,JJKR,1,84.59,0,51,40,Medium,14.49,Low
AST-20135,OHE,SEC-226,KJT,22,73.32,2,101,100,High,53.92,Medium
AST-20136,Signal,SEC-438,PASA,30,46.17,2,859,77,Medium,59.32,High
AST-20137,Signal,SEC-093,CNDM,2,90.04,1,110,48,High,30.89,Low
AST-20138,Track,SEC-257,KMME,30,51.28,7,579,52,High,69.24,High
AST-20139,Track,SEC-036,KTE,14,71.01,3,760,39,High,50.73,Medium
AST-20140,OHE,SEC-056,HAPA,13,51.1,4,789,36,High,65.76,High
AST-20141,Bridge,SEC-430,AAM,19,73.19,3,363,73,High,53.8,Medium
AST-20142,Point Machine,SEC-366,LKO,19,90.92,0,369,36,Medium,30.2,Low
AST-20143,Track,SEC-274,ANKX,9,93.37,2,484,96,High,43.3,Medium
AST-20144,Level Crossing,SEC-188,SMK,5,74.38,3,580,67,High,50.54,Medium
AST-20145,Signal,SEC-269,CAPE,22,75.74,3,542,45,High,54.6,Medium
AST-20146,OHE,SEC-330,MAR,35,35.0,6,888,99,High,74.99,High
AST-20147,Track,SEC-271,AGC,15,66.42,7,709,40,High,70.64,High
AST-20148,Bridge,SEC-271,VAPI,20,57.79,1,500,35,Low,32.42,Low
AST-20149,Point Machine,SEC-064,KAWR,33,51.98,3,766,41,High,75.49,Critical
AST-20150,Signal,SEC-221,HZR,27,54.43,3,149,64,Low,33.75,Low
AST-20151,Track,SEC-301,KJM,22,46.18,3,888,52,Medium,60.19,High
AST-20152,Point Machine,SEC-011,SDB,4,67.69,0,323,50,High,47.26,Medium
AST-20153,Level Crossing,SEC-398,VM,23,56.09,1,433,37,High,50.98,Medium
AST-20154,Point Machine,SEC-254,RNH,34,60.9,2,600,20,High,51.44,Medium
AST-20155,Signal,SEC-005,BTD,13,70.5,3,560,30,High,49.23,Medium
AST-20156,Track,SEC-481,BQA,28,42.73,2,517,76,High,66.6,High
AST-20157,Track,SEC-247,JAJ,24,68.0,6,322,20,Medium,42.18,Medium
AST-20158,Signal,SEC-019,EE,35,39.54,1,588,72,Critical,71.72,High
AST-20159,Track,SEC-258,BNW,15,60.23,1,888,25,Low,31.15,Low
AST-20160,Signal,SEC-225,BH,14,62.27,3,231,62,High,60.92,High
AST-20161,Bridge,SEC-357,DBR,18,65.37,2,327,71,Low,31.58,Low
AST-20162,Bridge,SEC-451,GLPT,24,55.89,5,564,44,Medium,38.86,Medium
AST-20163,Track,SEC-417,MML,22,61.32,1,13,60,Critical,57.96,High
AST-20164,Point Machine,SEC-067,ED,12,68.09,1,294,32,High,36.1,Medium
AST-20165,OHE,SEC-295,KFPR,18,62.96,9,874,60,Critical,80.81,Critical
AST-20166,OHE,SEC-133,BJU,11,70.97,4,753,78,Medium,44.46,Medium
AST-20167,OHE,SEC-149,KQN,23,65.15,7,667,20,Medium,41.13,Medium
AST-20168,Bridge,SEC-199,FK,17,66.31,4,577,30,Medium,41.96,Medium
AST-20169,OHE,SEC-165,PUK,22,61.75,2,403,84,High,53.09,Medium
AST-20170,Point Machine,SEC-433,JBP,26,68.75,3,74,20,Critical,53.35,Medium
AST-20171,Point Machine,SEC-175,SBG,12,65.08,3,668,90,High,61.69,High
AST-20172,Level Crossing,SEC-279,DVL,7,73.49,3,728,56,High,55.9,High
AST-20173,Level Crossing,SEC-445,QLN,13,70.1,4,888,62,Medium,56.51,High
AST-20174,Level Crossing,SEC-252,GP,35,41.78,9,888,43,High,73.3,High
AST-20175,Bridge,SEC-047,KPD,35,44.73,8,560,69,Critical,75.44,Critical
AST-20176,Point Machine,SEC-389,ASN,4,65.3,0,582,56,High,50.94,Medium
AST-20177,Track,SEC-095,ANR,2,89.22,4,275,49,High,39.88,Medium
AST-20178,OHE,SEC-454,MLDT,5,86.65,1,268,77,High,40.51,Medium
AST-20179,Signal,SEC-186,BER,34,59.67,3,340,97,Critical,74.29,High
AST-20180,Track,SEC-182,MKP,1,86.9,0,157,55,High,38.67,Medium
AST-20181,OHE,SEC-247,AGC,26,61.06,1,688,47,Critical,71.77,High
